stkcd,trdate,clprice
600637 東方明珠,2016/05/10,25.06
600795 國電電力,2016/05/10,2.91
600837 海通證券,2016/05/10,14.49
600887 伊利股份,2016/05/10,15.27
600893 中航動力,2016/05/10,34.28
600958 東方證券,2016/05/10,17.01
600999 招商證券,2016/05/10,15.52
601006 大秦鐵路,2016/05/10,6.39
601088 中國神華,2016/05/10,13.57
601166 興業銀行,2016/05/10,15.67
601169 北京銀行,2016/05/10,10.25
601186 中國鐵建,2016/05/10,9.96
601211 國泰君安,2016/05/10,17.27
601288 農業銀行,2016/05/10,3.07
601318 中國平安,2016/05/10,31.19
601328 交通銀行,2016/05/10,5.25
601336 新華保險,2016/05/10,38.3
601390 中國中鐵,2016/05/10,7.21
601398 工商銀行,2016/05/10,4.16
601601 中國太保,2016/05/10,25.79
601628 中國人壽,2016/05/10,20.26
601668 中國建築,2016/05/10,5.33
601669 中國電建,2016/05/10,6.29
601688 華泰證券,2016/05/10,16.01
601766 中國中車,2016/05/10,9.19
601800 中國交建,2016/05/10,10.91
601818 光大銀行,2016/05/10,3.55
601857 中國石油,2016/05/10,7.19
601901 方正證券,2016/05/10,6.92
601985 中國核電,2016/05/10,6.81
601988 中國銀行,2016/05/10,3.27
601989 中國重工,2016/05/10,6.07
601998 中信銀行,2016/05/10,5.58
600000 浦發銀行,2016/05/09,17.51
600010 包鋼股份,2016/05/09,2.82
600015 華夏銀行,2016/05/09,10.01
600016 民生銀行,2016/05/09,9.22
600018 上港集團,2016/05/09,4.81
600028 中國石化,2016/05/09,4.64
600030 中信證券,2016/05/09,15.65
600036 招商銀行,2016/05/09,17.3
600048 保利地產,2016/05/09,8.85
600050 中國聯通,2016/05/09,3.92
600104 上汽集團,2016/05/09,19.71
600109 國金證券,2016/05/09,12.34
600111 北方稀土,2016/05/09,12.26
600150 中國船舶,2016/05/09,21.6
600518 康美藥業,2016/05/09,14.38
600519 貴州茅台,2016/05/09,250.82
600585 海螺水泥,2016/05/09,14.58
600637 東方明珠,2016/05/09,25.29
600795 國電電力,2016/05/09,2.89
600837 海通證券,2016/05/09,14.6
600887 伊利股份,2016/05/09,14.59
600893 中航動力,2016/05/09,34.22
600958 東方證券,2016/05/09,17.01
600999 招商證券,2016/05/09,15.58
601006 大秦鐵路,2016/05/09,6.33
601088 中國神華,2016/05/09,13.59
601166 興業銀行,2016/05/09,15.81
601169 北京銀行,2016/05/09,10.3
601186 中國鐵建,2016/05/09,9.88
601211 國泰君安,2016/05/09,17.41
601288 農業銀行,2016/05/09,3.07
601318 中國平安,2016/05/09,31.16
601328 交通銀行,2016/05/09,5.28
601336 新華保險,2016/05/09,38.55
601390 中國中鐵,2016/05/09,7.11
601398 工商銀行,2016/05/09,4.17
601601 中國太保,2016/05/09,25.96
601628 中國人壽,2016/05/09,20.47
601668 中國建築,2016/05/09,5.32
601669 中國電建,2016/05/09,6.29
601688 華泰證券,2016/05/09,16.34
601766 中國中車,2016/05/09,9.15
601800 中國交建,2016/05/09,10.78
601818 光大銀行,2016/05/09,3.56
601857 中國石油,2016/05/09,7.2
601901 方正證券,2016/05/09,6.94
601985 中國核電,2016/05/09,6.76
601988 中國銀行,2016/05/09,3.28
601989 中國重工,2016/05/09,5.99
601998 中信銀行,2016/05/09,5.61
600000 浦發銀行,2016/05/06,17.73
600010 包鋼股份,2016/05/06,2.99
600015 華夏銀行,2016/05/06,10.11
600016 民生銀行,2016/05/06,9.26
600018 上港集團,2016/05/06,4.94
600028 中國石化,2016/05/06,4.72
600030 中信證券,2016/05/06,16.1
600036 招商銀行,2016/05/06,17.32
600048 保利地產,2016/05/06,9.05
600050 中國聯通,2016/05/06,4.02
600104 上汽集團,2016/05/06,19.79
600109 國金證券,2016/05/06,12.92
600111 北方稀土,2016/05/06,13.38
600150 中國船舶,2016/05/06,22.53
600518 康美藥業,2016/05/06,14.9
600519 貴州茅台,2016/05/06,252.22
600585 海螺水泥,2016/05/06,15.31
600637 東方明珠,2016/05/06,26.26
600795 國電電力,2016/05/06,2.94
600837 海通證券,2016/05/06,14.74
600887 伊利股份,2016/05/06,14.55
600893 中航動力,2016/05/06,35.97
600958 東方證券,2016/05/06,17.64
600999 招商證券,2016/05/06,16.26
601006 大秦鐵路,2016/05/06,6.47
601088 中國神華,2016/05/06,14.11
601166 興業銀行,2016/05/06,16.02
601169 北京銀行,2016/05/06,10.26
601186 中國鐵建,2016/05/06,10.19
601211 國泰君安,2016/05/06,17.99
601288 農業銀行,2016/05/06,3.1
601318 中國平安,2016/05/06,31.4
601328 交通銀行,2016/05/06,5.35
601336 新華保險,2016/05/06,38.7
601390 中國中鐵,2016/05/06,7.37
601398 工商銀行,2016/05/06,4.24
601601 中國太保,2016/05/06,26.11
601628 中國人壽,2016/05/06,21.12
601668 中國建築,2016/05/06,5.45
601669 中國電建,2016/05/06,6.29
601688 華泰證券,2016/05/06,16.81
601766 中國中車,2016/05/06,9.45
601800 中國交建,2016/05/06,11.07
601818 光大銀行,2016/05/06,3.63
601857 中國石油,2016/05/06,7.34
601901 方正證券,2016/05/06,7.25
601985 中國核電,2016/05/06,6.96
601988 中國銀行,2016/05/06,3.33
601989 中國重工,2016/05/06,6.22
601998 中信銀行,2016/05/06,5.82
600000 浦發銀行,2016/05/05,18.06
600010 包鋼股份,2016/05/05,3.07
600015 華夏銀行,2016/05/05,10.3
600016 民生銀行,2016/05/05,9.36
600018 上港集團,2016/05/05,5.06
600028 中國石化,2016/05/05,4.8
600030 中信證券,2016/05/05,16.73
600036 招商銀行,2016/05/05,17.62
600048 保利地產,2016/05/05,9.22
600050 中國聯通,2016/05/05,4.12
600104 上汽集團,2016/05/05,20.15
600109 國金證券,2016/05/05,13.49
600111 北方稀土,2016/05/05,13.87
600150 中國船舶,2016/05/05,23.59
600518 康美藥業,2016/05/05,15.31
600519 貴州茅台,2016/05/05,257.77
600585 海螺水泥,2016/05/05,15.83
600637 東方明珠,2016/05/05,26.52
600795 國電電力,2016/05/05,3.01
600837 海通證券,2016/05/05,15.02
600887 伊利股份,2016/05/05,14.94
600893 中航動力,2016/05/05,37.22
600958 東方證券,2016/05/05,18.19
600999 招商證券,2016/05/05,16.96
601006 大秦鐵路,2016/05/05,6.59
601088 中國神華,2016/05/05,14.49
601166 興業銀行,2016/05/05,16.17
601169 北京銀行,2016/05/05,10.32
601186 中國鐵建,2016/05/05,10.52
601211 國泰君安,2016/05/05,18.51
601288 農業銀行,2016/05/05,3.13
601318 中國平安,2016/05/05,31.95
601328 交通銀行,2016/05/05,5.42
601336 新華保險,2016/05/05,39.78
601390 中國中鐵,2016/05/05,7.62
601398 工商銀行,2016/05/05,4.28
601601 中國太保,2016/05/05,27.22
601628 中國人壽,2016/05/05,21.97
601668 中國建築,2016/05/05,5.59
601669 中國電建,2016/05/05,6.29
601688 華泰證券,2016/05/05,17.75
601766 中國中車,2016/05/05,9.6
601800 中國交建,2016/05/05,11.62
601818 光大銀行,2016/05/05,3.69
601857 中國石油,2016/05/05,7.46
601901 方正證券,2016/05/05,7.59
601985 中國核電,2016/05/05,7.14
601988 中國銀行,2016/05/05,3.37
601989 中國重工,2016/05/05,6.49
601998 中信銀行,2016/05/05,5.97
600000 浦發銀行,2016/05/04,18.08
600010 包鋼股份,2016/05/04,3.05
600015 華夏銀行,2016/05/04,10.34
600016 民生銀行,2016/05/04,9.38
600018 上港集團,2016/05/04,5.03
600028 中國石化,2016/05/04,4.82
600030 中信證券,2016/05/04,16.71
600036 招商銀行,2016/05/04,17.65
600048 保利地產,2016/05/04,9.12
600050 中國聯通,2016/05/04,4.12
600104 上汽集團,2016/05/04,20.45
600109 國金證券,2016/05/04,13.4
600111 北方稀土,2016/05/04,13.69
600150 中國船舶,2016/05/04,23.44
600518 康美藥業,2016/05/04,15.29
600519 貴州茅台,2016/05/04,256.21
600585 海螺水泥,2016/05/04,15.76
600637 東方明珠,2016/05/04,26.45
600795 國電電力,2016/05/04,2.99
600837 海通證券,2016/05/04,15.08
600887 伊利股份,2016/05/04,14.765
600893 中航動力,2016/05/04,37.1
600958 東方證券,2016/05/04,18.2
600999 招商證券,2016/05/04,16.95
601006 大秦鐵路,2016/05/04,6.6
601088 中國神華,2016/05/04,14.52
601166 興業銀行,2016/05/04,16.17
601169 北京銀行,2016/05/04,10.32
601186 中國鐵建,2016/05/04,10.59
601211 國泰君安,2016/05/04,18.51
601288 農業銀行,2016/05/04,3.13
601318 中國平安,2016/05/04,31.93
601328 交通銀行,2016/05/04,5.43
601336 新華保險,2016/05/04,39.89
601390 中國中鐵,2016/05/04,7.64
601398 工商銀行,2016/05/04,4.27
601601 中國太保,2016/05/04,27.28
601628 中國人壽,2016/05/04,22.02
601668 中國建築,2016/05/04,5.59
601669 中國電建,2016/05/04,6.29
601688 華泰證券,2016/05/04,17.8
601766 中國中車,2016/05/04,9.64
601800 中國交建,2016/05/04,11.63
601818 光大銀行,2016/05/04,3.68
601857 中國石油,2016/05/04,7.46
601901 方正證券,2016/05/04,7.62
601985 中國核電,2016/05/04,7.17
601988 中國銀行,2016/05/04,3.37
601989 中國重工,2016/05/04,6.5
601998 中信銀行,2016/05/04,5.97
600000 浦發銀行,2016/05/03,18.12
600010 包鋼股份,2016/05/03,3.09
600015 華夏銀行,2016/05/03,10.27
600016 民生銀行,2016/05/03,9.38
600018 上港集團,2016/05/03,5.03
600028 中國石化,2016/05/03,4.85
600030 中信證券,2016/05/03,16.82
600036 招商銀行,2016/05/03,17.7
600048 保利地產,2016/05/03,9.09
600050 中國聯通,2016/05/03,4.12
600104 上汽集團,2016/05/03,20.55
600109 國金證券,2016/05/03,13.41
600111 北方稀土,2016/05/03,13.87
600150 中國船舶,2016/05/03,23.34
600518 康美藥業,2016/05/03,15.26
600519 貴州茅台,2016/05/03,260
600585 海螺水泥,2016/05/03,16.23
600637 東方明珠,2016/05/03,26.32
600795 國電電力,2016/05/03,2.99
600837 海通證券,2016/05/03,15.14
600887 伊利股份,2016/05/03,14.94
600893 中航動力,2016/05/03,37.42
600958 東方證券,2016/05/03,18.47
600999 招商證券,2016/05/03,17.11
601006 大秦鐵路,2016/05/03,6.61
601088 中國神華,2016/05/03,14.69
601166 興業銀行,2016/05/03,16.15
601169 北京銀行,2016/05/03,10.3
601186 中國鐵建,2016/05/03,10.63
601211 國泰君安,2016/05/03,18.63
601288 農業銀行,2016/05/03,3.14
601318 中國平安,2016/05/03,31.91
601328 交通銀行,2016/05/03,5.44
601336 新華保險,2016/05/03,40
601390 中國中鐵,2016/05/03,7.63
601398 工商銀行,2016/05/03,4.28
601601 中國太保,2016/05/03,27.31
601628 中國人壽,2016/05/03,22.08
601668 中國建築,2016/05/03,5.61
601669 中國電建,2016/05/03,6.29
601688 華泰證券,2016/05/03,17.74
601766 中國中車,2016/05/03,9.65
601800 中國交建,2016/05/03,11.71
601818 光大銀行,2016/05/03,3.69
601857 中國石油,2016/05/03,7.51
601901 方正證券,2016/05/03,7.67
601985 中國核電,2016/05/03,7.18
601988 中國銀行,2016/05/03,3.37
601989 中國重工,2016/05/03,6.43
601998 中信銀行,2016/05/03,5.97
600000 浦發銀行,2016/04/29,17.83
600010 包鋼股份,2016/04/29,3.04
600015 華夏銀行,2016/04/29,10.17
600016 民生銀行,2016/04/29,9.3
600018 上港集團,2016/04/29,4.91
600028 中國石化,2016/04/29,4.87
600030 中信證券,2016/04/29,16.44
600036 招商銀行,2016/04/29,17.75
600048 保利地產,2016/04/29,8.95
600050 中國聯通,2016/04/29,4.04
600104 上汽集團,2016/04/29,20.34
600109 國金證券,2016/04/29,13.06
600111 北方稀土,2016/04/29,13.43
600150 中國船舶,2016/04/29,22.71
600518 康美藥業,2016/04/29,14.82
600519 貴州茅台,2016/04/29,251.2
600585 海螺水泥,2016/04/29,16.17
600637 東方明珠,2016/04/29,25.65
600795 國電電力,2016/04/29,2.95
600837 海通證券,2016/04/29,15.03
600887 伊利股份,2016/04/29,14.591
600893 中航動力,2016/04/29,36.42
600958 東方證券,2016/04/29,18.07
600999 招商證券,2016/04/29,16.73
601006 大秦鐵路,2016/04/29,6.54
601088 中國神華,2016/04/29,14.78
601166 興業銀行,2016/04/29,16.12
601169 北京銀行,2016/04/29,10.3
601186 中國鐵建,2016/04/29,10.45
601211 國泰君安,2016/04/29,18.28
601288 農業銀行,2016/04/29,3.12
601318 中國平安,2016/04/29,32.04
601328 交通銀行,2016/04/29,5.38
601336 新華保險,2016/04/29,39.9
601390 中國中鐵,2016/04/29,7.48
601398 工商銀行,2016/04/29,4.26
601601 中國太保,2016/04/29,27.61
601628 中國人壽,2016/04/29,21.69
601668 中國建築,2016/04/29,5.51
601669 中國電建,2016/04/29,6.29
601688 華泰證券,2016/04/29,17.41
601766 中國中車,2016/04/29,9.45
601800 中國交建,2016/04/29,11.4
601818 光大銀行,2016/04/29,3.65
601857 中國石油,2016/04/29,7.42
601901 方正證券,2016/04/29,7.51
601985 中國核電,2016/04/29,7.08
601988 中國銀行,2016/04/29,3.35
601989 中國重工,2016/04/29,6.3
601998 中信銀行,2016/04/29,5.87
600000 浦發銀行,2016/04/28,17.9
600010 包鋼股份,2016/04/28,3.03
600015 華夏銀行,2016/04/28,10.26
600016 民生銀行,2016/04/28,9.37
600018 上港集團,2016/04/28,4.92
600028 中國石化,2016/04/28,4.93
600030 中信證券,2016/04/28,16.51
600036 招商銀行,2016/04/28,17.88
600048 保利地產,2016/04/28,9
600050 中國聯通,2016/04/28,4.07
600104 上汽集團,2016/04/28,20.2
600109 國金證券,2016/04/28,13.13
600111 北方稀土,2016/04/28,13.28
600150 中國船舶,2016/04/28,22.71
600518 康美藥業,2016/04/28,14.88
600519 貴州茅台,2016/04/28,246.44
600585 海螺水泥,2016/04/28,15.96
600637 東方明珠,2016/04/28,25.76
600795 國電電力,2016/04/28,2.94
600837 海通證券,2016/04/28,15.01
600887 伊利股份,2016/04/28,14.212
600893 中航動力,2016/04/28,36.69
600958 東方證券,2016/04/28,17.99
600999 招商證券,2016/04/28,16.83
601006 大秦鐵路,2016/04/28,6.57
601088 中國神華,2016/04/28,14.52
601166 興業銀行,2016/04/28,16.18
601169 北京銀行,2016/04/28,10.47
601186 中國鐵建,2016/04/28,10.47
601211 國泰君安,2016/04/28,18.31
601288 農業銀行,2016/04/28,3.13
601318 中國平安,2016/04/28,32.19
601328 交通銀行,2016/04/28,5.42
601336 新華保險,2016/04/28,40.09
601390 中國中鐵,2016/04/28,7.53
601398 工商銀行,2016/04/28,4.28
601601 中國太保,2016/04/28,27.72
601628 中國人壽,2016/04/28,21.8
601668 中國建築,2016/04/28,5.53
601669 中國電建,2016/04/28,6.29
601688 華泰證券,2016/04/28,17.5
601766 中國中車,2016/04/28,9.54
601800 中國交建,2016/04/28,11.51
601818 光大銀行,2016/04/28,3.68
601857 中國石油,2016/04/28,7.53
601901 方正證券,2016/04/28,7.47
601985 中國核電,2016/04/28,7.13
601988 中國銀行,2016/04/28,3.37
601989 中國重工,2016/04/28,6.34
601998 中信銀行,2016/04/28,5.9
600000 浦發銀行,2016/04/27,17.86
600010 包鋼股份,2016/04/27,3.06
600015 華夏銀行,2016/04/27,10.15
600016 民生銀行,2016/04/27,9.39
600018 上港集團,2016/04/27,4.95
600028 中國石化,2016/04/27,4.92
600030 中信證券,2016/04/27,16.61
600036 招商銀行,2016/04/27,17.88
600048 保利地產,2016/04/27,9.11
600050 中國聯通,2016/04/27,4.09
600104 上汽集團,2016/04/27,20.25
600109 國金證券,2016/04/27,13.13
600111 北方稀土,2016/04/27,13.37
600150 中國船舶,2016/04/27,22.95
600518 康美藥業,2016/04/27,14.88
600519 貴州茅台,2016/04/27,244.88
600585 海螺水泥,2016/04/27,15.93
600637 東方明珠,2016/04/27,26.27
600795 國電電力,2016/04/27,2.96
600837 海通證券,2016/04/27,15.38
600887 伊利股份,2016/04/27,13.969
600893 中航動力,2016/04/27,36.8
600958 東方證券,2016/04/27,18.16
600999 招商證券,2016/04/27,16.86
601006 大秦鐵路,2016/04/27,6.55
601088 中國神華,2016/04/27,14.41
601166 興業銀行,2016/04/27,16.15
601169 北京銀行,2016/04/27,10.49
601186 中國鐵建,2016/04/27,10.59
601211 國泰君安,2016/04/27,18.57
601288 農業銀行,2016/04/27,3.12
601318 中國平安,2016/04/27,32.26
601328 交通銀行,2016/04/27,5.39
601336 新華保險,2016/04/27,40.01
601390 中國中鐵,2016/04/27,7.59
601398 工商銀行,2016/04/27,4.28
601601 中國太保,2016/04/27,27.73
601628 中國人壽,2016/04/27,21.95
601668 中國建築,2016/04/27,5.54
601669 中國電建,2016/04/27,6.29
601688 華泰證券,2016/04/27,17.62
601766 中國中車,2016/04/27,9.67
601800 中國交建,2016/04/27,11.64
601818 光大銀行,2016/04/27,3.65
601857 中國石油,2016/04/27,7.53
601901 方正證券,2016/04/27,7.49
601985 中國核電,2016/04/27,7.09
601988 中國銀行,2016/04/27,3.35
601989 中國重工,2016/04/27,6.35
601998 中信銀行,2016/04/27,5.87
600000 浦發銀行,2016/04/26,17.92
600010 包鋼股份,2016/04/26,3.12
600015 華夏銀行,2016/04/26,10.11
600016 民生銀行,2016/04/26,9.46
600018 上港集團,2016/04/26,4.98
600028 中國石化,2016/04/26,4.9
600030 中信證券,2016/04/26,16.87
600036 招商銀行,2016/04/26,17.91
600048 保利地產,2016/04/26,9.1
600050 中國聯通,2016/04/26,4.09
600104 上汽集團,2016/04/26,20.47
600109 國金證券,2016/04/26,13.4
600111 北方稀土,2016/04/26,13.73
600150 中國船舶,2016/04/26,23.19
600518 康美藥業,2016/04/26,14.93
600519 貴州茅台,2016/04/26,243.86
600585 海螺水泥,2016/04/26,16.09
600637 東方明珠,2016/04/26,26.75
600795 國電電力,2016/04/26,2.97
600837 海通證券,2016/04/26,15.49
600887 伊利股份,2016/04/26,13.785
600893 中航動力,2016/04/26,37.39
600958 東方證券,2016/04/26,18.33
600999 招商證券,2016/04/26,17.13
601006 大秦鐵路,2016/04/26,6.56
601088 中國神華,2016/04/26,14.69
601166 興業銀行,2016/04/26,16.16
601169 北京銀行,2016/04/26,10.46
601186 中國鐵建,2016/04/26,10.72
601211 國泰君安,2016/04/26,18.87
601288 農業銀行,2016/04/26,3.13
601318 中國平安,2016/04/26,32.39
601328 交通銀行,2016/04/26,5.42
601336 新華保險,2016/04/26,40.15
601390 中國中鐵,2016/04/26,7.67
601398 工商銀行,2016/04/26,4.28
601601 中國太保,2016/04/26,27.79
601628 中國人壽,2016/04/26,22.01
601668 中國建築,2016/04/26,5.56
601669 中國電建,2016/04/26,6.29
601688 華泰證券,2016/04/26,17.96
601766 中國中車,2016/04/26,9.72
601800 中國交建,2016/04/26,11.75
601818 光大銀行,2016/04/26,3.65
601857 中國石油,2016/04/26,7.54
601901 方正證券,2016/04/26,7.59
601985 中國核電,2016/04/26,7.12
601988 中國銀行,2016/04/26,3.36
601989 中國重工,2016/04/26,6.42
601998 中信銀行,2016/04/26,5.89
600000 浦發銀行,2016/04/25,17.88
600010 包鋼股份,2016/04/25,3.11
600015 華夏銀行,2016/04/25,10.07
600016 民生銀行,2016/04/25,9.44
600018 上港集團,2016/04/25,4.97
600028 中國石化,2016/04/25,4.88
600030 中信證券,2016/04/25,16.76
600036 招商銀行,2016/04/25,17.9
600048 保利地產,2016/04/25,9.05
600050 中國聯通,2016/04/25,4.08
600104 上汽集團,2016/04/25,20.43
600109 國金證券,2016/04/25,13.24
600111 北方稀土,2016/04/25,13.74
600150 中國船舶,2016/04/25,22.96
600518 康美藥業,2016/04/25,14.53
600519 貴州茅台,2016/04/25,244.52
600585 海螺水泥,2016/04/25,15.97
600637 東方明珠,2016/04/25,26.64
600795 國電電力,2016/04/25,2.97
600837 海通證券,2016/04/25,15.47
600887 伊利股份,2016/04/25,13.775
600893 中航動力,2016/04/25,37.66
600958 東方證券,2016/04/25,18.22
600999 招商證券,2016/04/25,17.01
601006 大秦鐵路,2016/04/25,6.54
601088 中國神華,2016/04/25,14.77
601166 興業銀行,2016/04/25,16.1
601169 北京銀行,2016/04/25,10.48
601186 中國鐵建,2016/04/25,10.64
601211 國泰君安,2016/04/25,18.7
601288 農業銀行,2016/04/25,3.13
601318 中國平安,2016/04/25,32.32
601328 交通銀行,2016/04/25,5.4
601336 新華保險,2016/04/25,39.99
601390 中國中鐵,2016/04/25,7.62
601398 工商銀行,2016/04/25,4.27
601601 中國太保,2016/04/25,27.77
601628 中國人壽,2016/04/25,21.9
601668 中國建築,2016/04/25,5.51
601669 中國電建,2016/04/25,6.2
601688 華泰證券,2016/04/25,17.69
601766 中國中車,2016/04/25,9.65
601800 中國交建,2016/04/25,11.57
601818 光大銀行,2016/04/25,3.65
601857 中國石油,2016/04/25,7.56
601901 方正證券,2016/04/25,7.51
601985 中國核電,2016/04/25,7.08
601988 中國銀行,2016/04/25,3.35
601989 中國重工,2016/04/25,6.34
601998 中信銀行,2016/04/25,5.88
600000 浦發銀行,2016/04/22,18.24
600010 包鋼股份,2016/04/22,3.15
600015 華夏銀行,2016/04/22,10.14
600016 民生銀行,2016/04/22,9.4
600018 上港集團,2016/04/22,5.02
600028 中國石化,2016/04/22,4.9
600030 中信證券,2016/04/22,17.04
600036 招商銀行,2016/04/22,17.87
600048 保利地產,2016/04/22,9.15
600050 中國聯通,2016/04/22,4.13
600104 上汽集團,2016/04/22,20.28
600109 國金證券,2016/04/22,13.41
600111 北方稀土,2016/04/22,13.9
600150 中國船舶,2016/04/22,23.39
600518 康美藥業,2016/04/22,14.79
600519 貴州茅台,2016/04/22,247.4
600585 海螺水泥,2016/04/22,16.16
600637 東方明珠,2016/04/22,26.92
600795 國電電力,2016/04/22,2.98
600837 海通證券,2016/04/22,15.41
600887 伊利股份,2016/04/22,13.775
600893 中航動力,2016/04/22,36.61
600958 東方證券,2016/04/22,18.56
600999 招商證券,2016/04/22,17.33
601006 大秦鐵路,2016/04/22,6.56
601088 中國神華,2016/04/22,14.71
601166 興業銀行,2016/04/22,16.13
601169 北京銀行,2016/04/22,10.23
601186 中國鐵建,2016/04/22,10.68
601211 國泰君安,2016/04/22,18.91
601288 農業銀行,2016/04/22,3.13
601318 中國平安,2016/04/22,32.42
601328 交通銀行,2016/04/22,5.44
601336 新華保險,2016/04/22,39.53
601390 中國中鐵,2016/04/22,7.68
601398 工商銀行,2016/04/22,4.28
601601 中國太保,2016/04/22,27.65
601628 中國人壽,2016/04/22,22.24
601668 中國建築,2016/04/22,5.53
601669 中國電建,2016/04/22,6.26
601688 華泰證券,2016/04/22,18.21
601766 中國中車,2016/04/22,9.74
601800 中國交建,2016/04/22,11.64
601818 光大銀行,2016/04/22,3.67
601857 中國石油,2016/04/22,7.58
601901 方正證券,2016/04/22,7.6
601985 中國核電,2016/04/22,7.13
601988 中國銀行,2016/04/22,3.35
601989 中國重工,2016/04/22,6.43
601998 中信銀行,2016/04/22,5.91
600000 浦發銀行,2016/04/21,18.12
600010 包鋼股份,2016/04/21,3.28
600015 華夏銀行,2016/04/21,10.13
600016 民生銀行,2016/04/21,9.3
600018 上港集團,2016/04/21,5.01
600028 中國石化,2016/04/21,4.9
600030 中信證券,2016/04/21,16.89
600036 招商銀行,2016/04/21,17.69
600048 保利地產,2016/04/21,9.03
600050 中國聯通,2016/04/21,4.15
600104 上汽集團,2016/04/21,20.03
600109 國金證券,2016/04/21,13.18
600111 北方稀土,2016/04/21,14.58
600150 中國船舶,2016/04/21,23.03
600518 康美藥業,2016/04/21,14.69
600519 貴州茅台,2016/04/21,240.37
600585 海螺水泥,2016/04/21,16.91
600637 東方明珠,2016/04/21,26.7
600795 國電電力,2016/04/21,2.99
600837 海通證券,2016/04/21,15.36
600887 伊利股份,2016/04/21,13.659
600893 中航動力,2016/04/21,36.38
600958 東方證券,2016/04/21,18.46
600999 招商證券,2016/04/21,17.26
601006 大秦鐵路,2016/04/21,6.55
601088 中國神華,2016/04/21,14.84
601166 興業銀行,2016/04/21,16.05
601169 北京銀行,2016/04/21,10.19
601186 中國鐵建,2016/04/21,10.75
601211 國泰君安,2016/04/21,18.78
601288 農業銀行,2016/04/21,3.11
601318 中國平安,2016/04/21,32.22
601328 交通銀行,2016/04/21,5.44
601336 新華保險,2016/04/21,39.1
601390 中國中鐵,2016/04/21,7.69
601398 工商銀行,2016/04/21,4.3
601601 中國太保,2016/04/21,27.56
601628 中國人壽,2016/04/21,22.42
601668 中國建築,2016/04/21,5.51
601669 中國電建,2016/04/21,6.27
601688 華泰證券,2016/04/21,17.81
601766 中國中車,2016/04/21,9.74
601800 中國交建,2016/04/21,11.66
601818 光大銀行,2016/04/21,3.67
601857 中國石油,2016/04/21,7.57
601901 方正證券,2016/04/21,7.58
601985 中國核電,2016/04/21,7.11
601988 中國銀行,2016/04/21,3.34
601989 中國重工,2016/04/21,6.41
601998 中信銀行,2016/04/21,5.89
600000 浦發銀行,2016/04/20,17.96
600010 包鋼股份,2016/04/20,3.16
600015 華夏銀行,2016/04/20,10.21
600016 民生銀行,2016/04/20,9.32
600018 上港集團,2016/04/20,5.11
600028 中國石化,2016/04/20,4.8
600030 中信證券,2016/04/20,17.22
600036 招商銀行,2016/04/20,17.33
