stkcd	trdate	clprice
600111 北方稀土	5/9/2016	12.26
600150 中國船舶	5/9/2016	21.6
600518 康美藥業	5/9/2016	14.38
600519 貴州茅台	5/9/2016	250.82
600585 海螺水泥	5/9/2016	14.58
600637 東方明珠	5/9/2016	25.29
600795 國電電力	5/9/2016	2.89
600837 海通證券	5/9/2016	14.6
600887 伊利股份	5/9/2016	14.59
600893 中航動力	5/9/2016	34.22
600958 東方證券	5/9/2016	17.01
600999 招商證券	5/9/2016	15.58
601006 大秦鐵路	5/9/2016	6.33
601088 中國神華	5/9/2016	13.59
601166 興業銀行	5/9/2016	15.81
601169 北京銀行	5/9/2016	10.3
601186 中國鐵建	5/9/2016	9.88
601211 國泰君安	5/9/2016	17.41
601288 農業銀行	5/9/2016	3.07
601318 中國平安	5/9/2016	31.16
601328 交通銀行	5/9/2016	5.28
601336 新華保險	5/9/2016	38.55
601390 中國中鐵	5/9/2016	7.11
601398 工商銀行	5/9/2016	4.17
601601 中國太保	5/9/2016	25.96
601628 中國人壽	5/9/2016	20.47
601668 中國建築	5/9/2016	5.32
601669 中國電建	5/9/2016	6.29
601688 華泰證券	5/9/2016	16.34
601766 中國中車	5/9/2016	9.15
601800 中國交建	5/9/2016	10.78
601818 光大銀行	5/9/2016	3.56
601857 中國石油	5/9/2016	7.2
601901 方正證券	5/9/2016	6.94
601985 中國核電	5/9/2016	6.76
601988 中國銀行	5/9/2016	3.28
601989 中國重工	5/9/2016	5.99
601998 中信銀行	5/9/2016	5.61
600000 浦發銀行	5/6/2016	17.73
600010 包鋼股份	5/6/2016	2.99
600015 華夏銀行	5/6/2016	10.11
600016 民生銀行	5/6/2016	9.26
600018 上港集團	5/6/2016	4.94
600028 中國石化	5/6/2016	4.72
600030 中信證券	5/6/2016	16.1
600036 招商銀行	5/6/2016	17.32
600048 保利地產	5/6/2016	9.05
600050 中國聯通	5/6/2016	4.02
600104 上汽集團	5/6/2016	19.79
600109 國金證券	5/6/2016	12.92
600111 北方稀土	5/6/2016	13.38
600150 中國船舶	5/6/2016	22.53
600518 康美藥業	5/6/2016	14.9
600519 貴州茅台	5/6/2016	252.22
600585 海螺水泥	5/6/2016	15.31
600637 東方明珠	5/6/2016	26.26
600795 國電電力	5/6/2016	2.94
600837 海通證券	5/6/2016	14.74
600887 伊利股份	5/6/2016	14.55
600893 中航動力	5/6/2016	35.97
600958 東方證券	5/6/2016	17.64
600999 招商證券	5/6/2016	16.26
601006 大秦鐵路	5/6/2016	6.47
601088 中國神華	5/6/2016	14.11
601166 興業銀行	5/6/2016	16.02
601169 北京銀行	5/6/2016	10.26
601186 中國鐵建	5/6/2016	10.19
601211 國泰君安	5/6/2016	17.99
601288 農業銀行	5/6/2016	3.1
601318 中國平安	5/6/2016	31.4
601328 交通銀行	5/6/2016	5.35
601336 新華保險	5/6/2016	38.7
601390 中國中鐵	5/6/2016	7.37
601398 工商銀行	5/6/2016	4.24
601601 中國太保	5/6/2016	26.11
601628 中國人壽	5/6/2016	21.12
601668 中國建築	5/6/2016	5.45
601669 中國電建	5/6/2016	6.29
601688 華泰證券	5/6/2016	16.81
601766 中國中車	5/6/2016	9.45
601800 中國交建	5/6/2016	11.07
601818 光大銀行	5/6/2016	3.63
601857 中國石油	5/6/2016	7.34
601901 方正證券	5/6/2016	7.25
601985 中國核電	5/6/2016	6.96
601988 中國銀行	5/6/2016	3.33
601989 中國重工	5/6/2016	6.22
601998 中信銀行	5/6/2016	5.82
600000 浦發銀行	5/5/2016	18.06
600010 包鋼股份	5/5/2016	3.07
600015 華夏銀行	5/5/2016	10.3
600016 民生銀行	5/5/2016	9.36
600018 上港集團	5/5/2016	5.06
600028 中國石化	5/5/2016	4.8
600030 中信證券	5/5/2016	16.73
600036 招商銀行	5/5/2016	17.62
600048 保利地產	5/5/2016	9.22
600050 中國聯通	5/5/2016	4.12
600104 上汽集團	5/5/2016	20.15
600109 國金證券	5/5/2016	13.49
600111 北方稀土	5/5/2016	13.87
600150 中國船舶	5/5/2016	23.59
600518 康美藥業	5/5/2016	15.31
600519 貴州茅台	5/5/2016	257.77
600585 海螺水泥	5/5/2016	15.83
600637 東方明珠	5/5/2016	26.52
600795 國電電力	5/5/2016	3.01
600837 海通證券	5/5/2016	15.02
600887 伊利股份	5/5/2016	14.94
600893 中航動力	5/5/2016	37.22
600958 東方證券	5/5/2016	18.19
600999 招商證券	5/5/2016	16.96
601006 大秦鐵路	5/5/2016	6.59
601088 中國神華	5/5/2016	14.49
601166 興業銀行	5/5/2016	16.17
601169 北京銀行	5/5/2016	10.32
601186 中國鐵建	5/5/2016	10.52
601211 國泰君安	5/5/2016	18.51
601288 農業銀行	5/5/2016	3.13
601318 中國平安	5/5/2016	31.95
601328 交通銀行	5/5/2016	5.42
601336 新華保險	5/5/2016	39.78
601390 中國中鐵	5/5/2016	7.62
601398 工商銀行	5/5/2016	4.28
601601 中國太保	5/5/2016	27.22
601628 中國人壽	5/5/2016	21.97
601668 中國建築	5/5/2016	5.59
601669 中國電建	5/5/2016	6.29
601688 華泰證券	5/5/2016	17.75
601766 中國中車	5/5/2016	9.6
601800 中國交建	5/5/2016	11.62
601818 光大銀行	5/5/2016	3.69
601857 中國石油	5/5/2016	7.46
601901 方正證券	5/5/2016	7.59
601985 中國核電	5/5/2016	7.14
601988 中國銀行	5/5/2016	3.37
601989 中國重工	5/5/2016	6.49
601998 中信銀行	5/5/2016	5.97
600000 浦發銀行	5/4/2016	18.08
600010 包鋼股份	5/4/2016	3.05
600015 華夏銀行	5/4/2016	10.34
600016 民生銀行	5/4/2016	9.38
600018 上港集團	5/4/2016	5.03
600028 中國石化	5/4/2016	4.82
600030 中信證券	5/4/2016	16.71
600036 招商銀行	5/4/2016	17.65
600048 保利地產	5/4/2016	9.12
600050 中國聯通	5/4/2016	4.12
600104 上汽集團	5/4/2016	20.45
600109 國金證券	5/4/2016	13.4
600111 北方稀土	5/4/2016	13.69
600150 中國船舶	5/4/2016	23.44
600518 康美藥業	5/4/2016	15.29
600519 貴州茅台	5/4/2016	256.21
600585 海螺水泥	5/4/2016	15.76
600637 東方明珠	5/4/2016	26.45
600795 國電電力	5/4/2016	2.99
600837 海通證券	5/4/2016	15.08
600887 伊利股份	5/4/2016	14.765
600893 中航動力	5/4/2016	37.1
600958 東方證券	5/4/2016	18.2
600999 招商證券	5/4/2016	16.95
601006 大秦鐵路	5/4/2016	6.6
601088 中國神華	5/4/2016	14.52
601166 興業銀行	5/4/2016	16.17
601169 北京銀行	5/4/2016	10.32
601186 中國鐵建	5/4/2016	10.59
601211 國泰君安	5/4/2016	18.51
601288 農業銀行	5/4/2016	3.13
601318 中國平安	5/4/2016	31.93
601328 交通銀行	5/4/2016	5.43
601336 新華保險	5/4/2016	39.89
601390 中國中鐵	5/4/2016	7.64
601398 工商銀行	5/4/2016	4.27
601601 中國太保	5/4/2016	27.28
601628 中國人壽	5/4/2016	22.02
601668 中國建築	5/4/2016	5.59
601669 中國電建	5/4/2016	6.29
601688 華泰證券	5/4/2016	17.8
601766 中國中車	5/4/2016	9.64
601800 中國交建	5/4/2016	11.63
601818 光大銀行	5/4/2016	3.68
601857 中國石油	5/4/2016	7.46
601901 方正證券	5/4/2016	7.62
601985 中國核電	5/4/2016	7.17
601988 中國銀行	5/4/2016	3.37
601989 中國重工	5/4/2016	6.5
601998 中信銀行	5/4/2016	5.97
600000 浦發銀行	5/3/2016	18.12
600010 包鋼股份	5/3/2016	3.09
600015 華夏銀行	5/3/2016	10.27
600016 民生銀行	5/3/2016	9.38
600018 上港集團	5/3/2016	5.03
600028 中國石化	5/3/2016	4.85
600030 中信證券	5/3/2016	16.82
600036 招商銀行	5/3/2016	17.7
600048 保利地產	5/3/2016	9.09
600050 中國聯通	5/3/2016	4.12
600104 上汽集團	5/3/2016	20.55
600109 國金證券	5/3/2016	13.41
600111 北方稀土	5/3/2016	13.87
600150 中國船舶	5/3/2016	23.34
600518 康美藥業	5/3/2016	15.26
600519 貴州茅台	5/3/2016	260
600585 海螺水泥	5/3/2016	16.23
600637 東方明珠	5/3/2016	26.32
600795 國電電力	5/3/2016	2.99
600837 海通證券	5/3/2016	15.14
600887 伊利股份	5/3/2016	14.94
600893 中航動力	5/3/2016	37.42
600958 東方證券	5/3/2016	18.47
600999 招商證券	5/3/2016	17.11
601006 大秦鐵路	5/3/2016	6.61
601088 中國神華	5/3/2016	14.69
601166 興業銀行	5/3/2016	16.15
601169 北京銀行	5/3/2016	10.3
601186 中國鐵建	5/3/2016	10.63
601211 國泰君安	5/3/2016	18.63
601288 農業銀行	5/3/2016	3.14
601318 中國平安	5/3/2016	31.91
601328 交通銀行	5/3/2016	5.44
601336 新華保險	5/3/2016	40
601390 中國中鐵	5/3/2016	7.63
601398 工商銀行	5/3/2016	4.28
601601 中國太保	5/3/2016	27.31
601628 中國人壽	5/3/2016	22.08
601668 中國建築	5/3/2016	5.61
601669 中國電建	5/3/2016	6.29
601688 華泰證券	5/3/2016	17.74
601766 中國中車	5/3/2016	9.65
601800 中國交建	5/3/2016	11.71
601818 光大銀行	5/3/2016	3.69
601857 中國石油	5/3/2016	7.51
601901 方正證券	5/3/2016	7.67
601985 中國核電	5/3/2016	7.18
601988 中國銀行	5/3/2016	3.37
601989 中國重工	5/3/2016	6.43
601998 中信銀行	5/3/2016	5.97
600000 浦發銀行	4/29/2016	17.83
600010 包鋼股份	4/29/2016	3.04
600015 華夏銀行	4/29/2016	10.17
600016 民生銀行	4/29/2016	9.3
600018 上港集團	4/29/2016	4.91
600028 中國石化	4/29/2016	4.87
600030 中信證券	4/29/2016	16.44
600036 招商銀行	4/29/2016	17.75
600048 保利地產	4/29/2016	8.95
600050 中國聯通	4/29/2016	4.04
600104 上汽集團	4/29/2016	20.34
600109 國金證券	4/29/2016	13.06
600111 北方稀土	4/29/2016	13.43
600150 中國船舶	4/29/2016	22.71
600518 康美藥業	4/29/2016	14.82
600519 貴州茅台	4/29/2016	251.2
600585 海螺水泥	4/29/2016	16.17
600637 東方明珠	4/29/2016	25.65
600795 國電電力	4/29/2016	2.95
600837 海通證券	4/29/2016	15.03
600887 伊利股份	4/29/2016	14.591
600893 中航動力	4/29/2016	36.42
600958 東方證券	4/29/2016	18.07
600999 招商證券	4/29/2016	16.73
601006 大秦鐵路	4/29/2016	6.54
601088 中國神華	4/29/2016	14.78
601166 興業銀行	4/29/2016	16.12
601169 北京銀行	4/29/2016	10.3
601186 中國鐵建	4/29/2016	10.45
601211 國泰君安	4/29/2016	18.28
601288 農業銀行	4/29/2016	3.12
601318 中國平安	4/29/2016	32.04
601328 交通銀行	4/29/2016	5.38
601336 新華保險	4/29/2016	39.9
601390 中國中鐵	4/29/2016	7.48
601398 工商銀行	4/29/2016	4.26
601601 中國太保	4/29/2016	27.61
601628 中國人壽	4/29/2016	21.69
601668 中國建築	4/29/2016	5.51
601669 中國電建	4/29/2016	6.29
601688 華泰證券	4/29/2016	17.41
601766 中國中車	4/29/2016	9.45
601800 中國交建	4/29/2016	11.4
601818 光大銀行	4/29/2016	3.65
601857 中國石油	4/29/2016	7.42
601901 方正證券	4/29/2016	7.51
601985 中國核電	4/29/2016	7.08
601988 中國銀行	4/29/2016	3.35
601989 中國重工	4/29/2016	6.3
601998 中信銀行	4/29/2016	5.87
600000 浦發銀行	4/28/2016	17.9
600010 包鋼股份	4/28/2016	3.03
600015 華夏銀行	4/28/2016	10.26
600016 民生銀行	4/28/2016	9.37
600018 上港集團	4/28/2016	4.92
600028 中國石化	4/28/2016	4.93
600030 中信證券	4/28/2016	16.51
600036 招商銀行	4/28/2016	17.88
600048 保利地產	4/28/2016	9
600050 中國聯通	4/28/2016	4.07
600104 上汽集團	4/28/2016	20.2
600109 國金證券	4/28/2016	13.13
600111 北方稀土	4/28/2016	13.28
600150 中國船舶	4/28/2016	22.71
600518 康美藥業	4/28/2016	14.88
600519 貴州茅台	4/28/2016	246.44
600585 海螺水泥	4/28/2016	15.96
600637 東方明珠	4/28/2016	25.76
600795 國電電力	4/28/2016	2.94
600837 海通證券	4/28/2016	15.01
600887 伊利股份	4/28/2016	14.212
600893 中航動力	4/28/2016	36.69
600958 東方證券	4/28/2016	17.99
600999 招商證券	4/28/2016	16.83
601006 大秦鐵路	4/28/2016	6.57
601088 中國神華	4/28/2016	14.52
601166 興業銀行	4/28/2016	16.18
601169 北京銀行	4/28/2016	10.47
601186 中國鐵建	4/28/2016	10.47
601211 國泰君安	4/28/2016	18.31
601288 農業銀行	4/28/2016	3.13
601318 中國平安	4/28/2016	32.19
601328 交通銀行	4/28/2016	5.42
601336 新華保險	4/28/2016	40.09
601390 中國中鐵	4/28/2016	7.53
601398 工商銀行	4/28/2016	4.28
601601 中國太保	4/28/2016	27.72
601628 中國人壽	4/28/2016	21.8
601668 中國建築	4/28/2016	5.53
601669 中國電建	4/28/2016	6.29
601688 華泰證券	4/28/2016	17.5
601766 中國中車	4/28/2016	9.54
601800 中國交建	4/28/2016	11.51
601818 光大銀行	4/28/2016	3.68
601857 中國石油	4/28/2016	7.53
601901 方正證券	4/28/2016	7.47
601985 中國核電	4/28/2016	7.13
601988 中國銀行	4/28/2016	3.37
601989 中國重工	4/28/2016	6.34
601998 中信銀行	4/28/2016	5.9
600000 浦發銀行	4/27/2016	17.86
600010 包鋼股份	4/27/2016	3.06
600015 華夏銀行	4/27/2016	10.15
600016 民生銀行	4/27/2016	9.39
600018 上港集團	4/27/2016	4.95
600028 中國石化	4/27/2016	4.92
600030 中信證券	4/27/2016	16.61
600036 招商銀行	4/27/2016	17.88
600048 保利地產	4/27/2016	9.11
600050 中國聯通	4/27/2016	4.09
600104 上汽集團	4/27/2016	20.25
600109 國金證券	4/27/2016	13.13
600111 北方稀土	4/27/2016	13.37
600150 中國船舶	4/27/2016	22.95
600518 康美藥業	4/27/2016	14.88
600519 貴州茅台	4/27/2016	244.88
600585 海螺水泥	4/27/2016	15.93
600637 東方明珠	4/27/2016	26.27
600795 國電電力	4/27/2016	2.96
600837 海通證券	4/27/2016	15.38
600887 伊利股份	4/27/2016	13.969
600893 中航動力	4/27/2016	36.8
600958 東方證券	4/27/2016	18.16
600999 招商證券	4/27/2016	16.86
601006 大秦鐵路	4/27/2016	6.55
601088 中國神華	4/27/2016	14.41
601166 興業銀行	4/27/2016	16.15
601169 北京銀行	4/27/2016	10.49
601186 中國鐵建	4/27/2016	10.59
601211 國泰君安	4/27/2016	18.57
601288 農業銀行	4/27/2016	3.12
601318 中國平安	4/27/2016	32.26
601328 交通銀行	4/27/2016	5.39
601336 新華保險	4/27/2016	40.01
601390 中國中鐵	4/27/2016	7.59
601398 工商銀行	4/27/2016	4.28
601601 中國太保	4/27/2016	27.73
601628 中國人壽	4/27/2016	21.95
601668 中國建築	4/27/2016	5.54
601669 中國電建	4/27/2016	6.29
601688 華泰證券	4/27/2016	17.62
601766 中國中車	4/27/2016	9.67
601800 中國交建	4/27/2016	11.64
601818 光大銀行	4/27/2016	3.65
601857 中國石油	4/27/2016	7.53
601901 方正證券	4/27/2016	7.49
601985 中國核電	4/27/2016	7.09
601988 中國銀行	4/27/2016	3.35
601989 中國重工	4/27/2016	6.35
601998 中信銀行	4/27/2016	5.87
600000 浦發銀行	4/26/2016	17.92
600010 包鋼股份	4/26/2016	3.12
600015 華夏銀行	4/26/2016	10.11
600016 民生銀行	4/26/2016	9.46
600018 上港集團	4/26/2016	4.98
600028 中國石化	4/26/2016	4.9
600030 中信證券	4/26/2016	16.87
600036 招商銀行	4/26/2016	17.91
600048 保利地產	4/26/2016	9.1
600050 中國聯通	4/26/2016	4.09
600104 上汽集團	4/26/2016	20.47
600109 國金證券	4/26/2016	13.4
600111 北方稀土	4/26/2016	13.73
600150 中國船舶	4/26/2016	23.19
600518 康美藥業	4/26/2016	14.93
600519 貴州茅台	4/26/2016	243.86
600585 海螺水泥	4/26/2016	16.09
600637 東方明珠	4/26/2016	26.75
600795 國電電力	4/26/2016	2.97
600837 海通證券	4/26/2016	15.49
600887 伊利股份	4/26/2016	13.785
600893 中航動力	4/26/2016	37.39
600958 東方證券	4/26/2016	18.33
600999 招商證券	4/26/2016	17.13
601006 大秦鐵路	4/26/2016	6.56
601088 中國神華	4/26/2016	14.69
601166 興業銀行	4/26/2016	16.16
601169 北京銀行	4/26/2016	10.46
601186 中國鐵建	4/26/2016	10.72
601211 國泰君安	4/26/2016	18.87
601288 農業銀行	4/26/2016	3.13
601318 中國平安	4/26/2016	32.39
601328 交通銀行	4/26/2016	5.42
601336 新華保險	4/26/2016	40.15
601390 中國中鐵	4/26/2016	7.67
601398 工商銀行	4/26/2016	4.28
601601 中國太保	4/26/2016	27.79
601628 中國人壽	4/26/2016	22.01
601668 中國建築	4/26/2016	5.56
601669 中國電建	4/26/2016	6.29
601688 華泰證券	4/26/2016	17.96
601766 中國中車	4/26/2016	9.72
601800 中國交建	4/26/2016	11.75
601818 光大銀行	4/26/2016	3.65
601857 中國石油	4/26/2016	7.54
601901 方正證券	4/26/2016	7.59
601985 中國核電	4/26/2016	7.12
601988 中國銀行	4/26/2016	3.36
601989 中國重工	4/26/2016	6.42
601998 中信銀行	4/26/2016	5.89
600000 浦發銀行	4/25/2016	17.88
600010 包鋼股份	4/25/2016	3.11
600015 華夏銀行	4/25/2016	10.07
600016 民生銀行	4/25/2016	9.44
600018 上港集團	4/25/2016	4.97
600028 中國石化	4/25/2016	4.88
600030 中信證券	4/25/2016	16.76
600036 招商銀行	4/25/2016	17.9
600048 保利地產	4/25/2016	9.05
600050 中國聯通	4/25/2016	4.08
600104 上汽集團	4/25/2016	20.43
600109 國金證券	4/25/2016	13.24
600111 北方稀土	4/25/2016	13.74
600150 中國船舶	4/25/2016	22.96
600518 康美藥業	4/25/2016	14.53
600519 貴州茅台	4/25/2016	244.52
600585 海螺水泥	4/25/2016	15.97
600637 東方明珠	4/25/2016	26.64
600795 國電電力	4/25/2016	2.97
600837 海通證券	4/25/2016	15.47
600887 伊利股份	4/25/2016	13.775
600893 中航動力	4/25/2016	37.66
600958 東方證券	4/25/2016	18.22
600999 招商證券	4/25/2016	17.01
601006 大秦鐵路	4/25/2016	6.54
601088 中國神華	4/25/2016	14.77
601166 興業銀行	4/25/2016	16.1
601169 北京銀行	4/25/2016	10.48
601186 中國鐵建	4/25/2016	10.64
601211 國泰君安	4/25/2016	18.7
601288 農業銀行	4/25/2016	3.13
601318 中國平安	4/25/2016	32.32
601328 交通銀行	4/25/2016	5.4
601336 新華保險	4/25/2016	39.99
601390 中國中鐵	4/25/2016	7.62
601398 工商銀行	4/25/2016	4.27
601601 中國太保	4/25/2016	27.77
601628 中國人壽	4/25/2016	21.9
601668 中國建築	4/25/2016	5.51
601669 中國電建	4/25/2016	6.2
601688 華泰證券	4/25/2016	17.69
601766 中國中車	4/25/2016	9.65
601800 中國交建	4/25/2016	11.57
601818 光大銀行	4/25/2016	3.65
601857 中國石油	4/25/2016	7.56
601901 方正證券	4/25/2016	7.51
601985 中國核電	4/25/2016	7.08
601988 中國銀行	4/25/2016	3.35
601989 中國重工	4/25/2016	6.34
601998 中信銀行	4/25/2016	5.88
600000 浦發銀行	4/22/2016	18.24
600010 包鋼股份	4/22/2016	3.15
600015 華夏銀行	4/22/2016	10.14
600016 民生銀行	4/22/2016	9.4
600018 上港集團	4/22/2016	5.02
600028 中國石化	4/22/2016	4.9
600030 中信證券	4/22/2016	17.04
600036 招商銀行	4/22/2016	17.87
600048 保利地產	4/22/2016	9.15
600050 中國聯通	4/22/2016	4.13
600104 上汽集團	4/22/2016	20.28
600109 國金證券	4/22/2016	13.41
600111 北方稀土	4/22/2016	13.9
600150 中國船舶	4/22/2016	23.39
600518 康美藥業	4/22/2016	14.79
600519 貴州茅台	4/22/2016	247.4
600585 海螺水泥	4/22/2016	16.16
600637 東方明珠	4/22/2016	26.92
600795 國電電力	4/22/2016	2.98
600837 海通證券	4/22/2016	15.41
600887 伊利股份	4/22/2016	13.775
600893 中航動力	4/22/2016	36.61
600958 東方證券	4/22/2016	18.56
600999 招商證券	4/22/2016	17.33
601006 大秦鐵路	4/22/2016	6.56
601088 中國神華	4/22/2016	14.71
601166 興業銀行	4/22/2016	16.13
601169 北京銀行	4/22/2016	10.23
601186 中國鐵建	4/22/2016	10.68
601211 國泰君安	4/22/2016	18.91
601288 農業銀行	4/22/2016	3.13
601318 中國平安	4/22/2016	32.42
601328 交通銀行	4/22/2016	5.44
601336 新華保險	4/22/2016	39.53
601390 中國中鐵	4/22/2016	7.68
601398 工商銀行	4/22/2016	4.28
601601 中國太保	4/22/2016	27.65
601628 中國人壽	4/22/2016	22.24
601668 中國建築	4/22/2016	5.53
601669 中國電建	4/22/2016	6.26
601688 華泰證券	4/22/2016	18.21
601766 中國中車	4/22/2016	9.74
601800 中國交建	4/22/2016	11.64
601818 光大銀行	4/22/2016	3.67
601857 中國石油	4/22/2016	7.58
601901 方正證券	4/22/2016	7.6
601985 中國核電	4/22/2016	7.13
601988 中國銀行	4/22/2016	3.35
601989 中國重工	4/22/2016	6.43
601998 中信銀行	4/22/2016	5.91
600000 浦發銀行	4/21/2016	18.12
600010 包鋼股份	4/21/2016	3.28
600015 華夏銀行	4/21/2016	10.13
600016 民生銀行	4/21/2016	9.3
600018 上港集團	4/21/2016	5.01
600028 中國石化	4/21/2016	4.9
600030 中信證券	4/21/2016	16.89
600036 招商銀行	4/21/2016	17.69
600048 保利地產	4/21/2016	9.03
600050 中國聯通	4/21/2016	4.15
600104 上汽集團	4/21/2016	20.03
600109 國金證券	4/21/2016	13.18
600111 北方稀土	4/21/2016	14.58
600150 中國船舶	4/21/2016	23.03
600518 康美藥業	4/21/2016	14.69
600519 貴州茅台	4/21/2016	240.37
600585 海螺水泥	4/21/2016	16.91
600637 東方明珠	4/21/2016	26.7
600795 國電電力	4/21/2016	2.99
600837 海通證券	4/21/2016	15.36
600887 伊利股份	4/21/2016	13.659
600893 中航動力	4/21/2016	36.38
600958 東方證券	4/21/2016	18.46
600999 招商證券	4/21/2016	17.26
601006 大秦鐵路	4/21/2016	6.55
601088 中國神華	4/21/2016	14.84
601166 興業銀行	4/21/2016	16.05
601169 北京銀行	4/21/2016	10.19
601186 中國鐵建	4/21/2016	10.75
601211 國泰君安	4/21/2016	18.78
601288 農業銀行	4/21/2016	3.11
601318 中國平安	4/21/2016	32.22
601328 交通銀行	4/21/2016	5.44
601336 新華保險	4/21/2016	39.1
601390 中國中鐵	4/21/2016	7.69
601398 工商銀行	4/21/2016	4.3
601601 中國太保	4/21/2016	27.56
601628 中國人壽	4/21/2016	22.42
601668 中國建築	4/21/2016	5.51
601669 中國電建	4/21/2016	6.27
601688 華泰證券	4/21/2016	17.81
601766 中國中車	4/21/2016	9.74
601800 中國交建	4/21/2016	11.66
601818 光大銀行	4/21/2016	3.67
601857 中國石油	4/21/2016	7.57
601901 方正證券	4/21/2016	7.58
601985 中國核電	4/21/2016	7.11
601988 中國銀行	4/21/2016	3.34
601989 中國重工	4/21/2016	6.41
601998 中信銀行	4/21/2016	5.89
600000 浦發銀行	4/20/2016	17.96
600010 包鋼股份	4/20/2016	3.16
600015 華夏銀行	4/20/2016	10.21
600016 民生銀行	4/20/2016	9.32
600018 上港集團	4/20/2016	5.11
600028 中國石化	4/20/2016	4.8
600030 中信證券	4/20/2016	17.22
600036 招商銀行	4/20/2016	17.33
