case,country,hdirank,hdicat,pop2004,urban2004,physicians,mort2004,tele2004,cell2003,internet03,gdp,inequality,educ04,milit2004,debt04,cde2003,lifef,lifem
16,France                          ,16,High Development,60.3,76.5,337,4,561,738,414,33896,9.1,6,2.6,NA,1.5,83.1,76
17,Italy                           ,17,High Development,58,67.5,420,4,451,1090,501,29143,11.6,4.9,2,NA,1.8,83.2,77.1
18,United Kingdom                  ,18,High Development,59.5,89.6,230,5,563,1021,628,35485,13.8,5.5,2.8,NA,2.2,80.8,76.2
19,Spain                           ,19,High Development,42.6,76.6,330,3,416,905,336,24360,10.3,4.5,1.1,NA,1.2,83.3,76
20,New Zealand                     ,20,High Development,4,86.1,237,5,443,745,788,24364,12.5,6.9,1,NA,0.1,81.5,77
21,Germany                         ,21,High Development,82.6,75.1,337,4,661,864,500,33212,6.9,4.8,1.4,NA,3.2,81.7,75.9
22,"Hong Kong, China (SAR)          ",22,High Development,7,100,NA,NA,549,1184,506,23684,17.8,4.7,NA,NA,0.2,84.8,78.9
23,Israel                          ,23,High Development,6.6,91.6,382,5,441,1057,471,17194,13.4,7.3,8.7,NA,0.3,82,77.8
24,Greece                          ,24,High Development,11.1,58.9,438,4,466,999,177,18560,10.2,4.3,4.2,NA,0.4,81,75.7
25,Singapore                       ,25,High Development,4.3,100,140,3,440,910,571,25191,17.7,NA,4.7,NA,0.2,80.8,77
26,"Korea, Rep. of                  ",26,High Development,47.6,80.6,157,5,542,761,657,14136,7.8,4.6,2.4,NA,1.8,80.9,73.7
27,Slovenia                        ,27,High Development,2,50.9,225,4,NA,951,476,16115,5.9,6,1.6,NA,0.1,80.2,72.9
28,Portugal                        ,28,High Development,10.4,57,342,4,404,981,281,15970,15,5.9,2.3,NA,0.2,80.8,74.1
29,Cyprus                          ,29,High Development,0.8,69.2,234,5,507,776,361,18668,NA,7.4,1.5,NA,NA,81.2,76.2
30,Czech Republic                  ,30,High Development,10.2,73.6,351,4,338,1054,470,10475,5.2,4.6,1.8,7.8,0.5,78.9,72.5
31,Barbados                        ,31,High Development,0.3,52.1,121,10,505,744,558,10401,NA,7.3,NA,3.1,NA,78.6,71.7
32,Malta                           ,32,High Development,0.4,95,318,5,NA,NA,750,13256,NA,4.6,0.8,NA,NA,80.9,76.1
33,Kuwait                          ,33,High Development,2.6,98.3,153,10,202,813,244,22654,NA,8.2,7.9,NA,0.3,79.7,75.4
34,Brunei Darussalam               ,34,High Development,0.4,73.1,101,8,NA,NA,153,NA,NA,NA,NA,NA,NA,79.1,74.5
35,Hungary                         ,35,High Development,10.1,65.9,333,7,354,863,267,9962,5.5,6,1.5,17,0.2,77.1,68.9
36,Argentina                       ,36,High Development,38.4,89.9,301,16,227,352,133,3988,34.5,3.5,1.1,8.1,0.5,78.4,70.9
37,Poland                          ,37,High Development,38.6,62,247,7,NA,605,236,6346,8.8,5.8,2,14.3,1.2,78.6,70.5
38,Chile                           ,38,High Development,16.1,87.3,109,8,206,593,267,5836,40.6,3.7,3.9,10.2,0.2,81.1,75.1
39,Bahrain                         ,39,High Development,0.7,96.2,109,9,268,908,213,15384,NA,NA,4.4,NA,0.1,76,73.2
40,Estonia                         ,40,High Development,1.3,69.1,448,6,329,931,497,8331,10.8,5.7,1.8,12.9,0.1,77.2,65.8
41,Lithuania                       ,41,High Development,3.4,66.6,397,8,239,996,282,6480,10.4,5.2,1.7,7.9,0.1,78,66.9
42,Slovakia                        ,42,High Development,5.4,56.2,318,6,232,794,423,7635,6.7,4.4,1.7,12.3,0.1,78.1,70.3
43,Uruguay                         ,43,High Development,3.4,91.9,365,15,291,174,198,3842,17.9,2.2,1.2,11.7,NA,79.2,71.9
44,Croatia                         ,44,High Development,4.5,56.3,244,6,425,640,293,7724,7.3,4.5,1.7,15.4,0.1,78.6,71.6
45,Latvia                          ,45,High Development,2.3,67.8,301,10,273,664,350,5868,11.6,5.4,1.7,10.1,NA,77.2,66.1
46,Qatar                           ,46,High Development,0.8,95.3,222,18,246,631,212,27857,NA,NA,NA,NA,0.2,76.2,71.4
47,Seychelles                      ,47,High Development,0.1,52.5,151,12,253,589,239,8411,NA,5.4,2.3,7.4,NA,NA,NA
48,Costa Rica                      ,48,High Development,4.3,61.2,132,11,316,217,235,4349,30,4.9,0,3.7,NA,80.8,76
49,United Arab Emirates            ,49,High Development,4.3,76.7,202,7,275,853,321,24121,NA,1.6,2.4,NA,0.5,81.1,76.7
50,Cuba                            ,50,High Development,11.2,75.7,591,6,68,7,13,NA,NA,NA,NA,NA,0.1,79.5,75.8
51,Saint Kitts and Nevis           ,51,High Development,NA,32.2,119,18,532,213,NA,8447,NA,4.4,NA,11.8,NA,NA,NA
52,Bahamas                         ,52,High Development,0.3,90.1,105,10,439,584,292,16728,NA,NA,0.7,NA,NA,73.4,67.1
53,Mexico                          ,53,High Development,105.7,75.7,198,23,174,370,135,6518,24.6,5.8,0.4,7.6,1.7,77.8,72.8
54,Bulgaria                        ,54,High Development,7.8,69.8,356,12,357,609,283,3109,7,4.2,2.4,10.2,0.2,75.8,69.1
55,Tonga                           ,55,High Development,0.1,23.8,34,20,NA,NA,29,2084,NA,4.8,NA,1.4,NA,73.7,71.1
56,Trinidad and Tobago             ,57,High Development,1.3,11.9,79,18,247,498,123,9640,14.4,4.3,NA,3.2,0.1,72.8,67
57,Panama                          ,58,High Development,3.2,69.9,150,19,118,270,94,4325,54.7,3.9,0,10.2,NA,77.6,72.5
58,Oman                            ,56,Medium Development,2.5,71.5,132,10,95,318,97,9584,NA,4.6,12,4.1,0.1,76,73.1
59,Antigua and Barbuda             ,59,Medium Development,0.1,38.7,17,11,474,674,250,10794,NA,3.8,NA,NA,NA,NA,NA
60,Romania                         ,60,Medium Development,21.8,53.5,190,17,202,471,208,3374,7.5,3.6,2.1,6.5,0.4,75.2,68
61,Malaysia                        ,61,Medium Development,24.9,66.3,70,10,179,587,397,4753,22.1,8,2.3,7.8,0.6,75.8,71.1
62,Bosnia and Herzegovina          ,62,Medium Development,3.9,45.2,134,13,NA,NA,58,2183,5.4,NA,2.5,2.1,0.1,77,71.5
63,Mauritius                       ,63,Medium Development,1.2,42.4,106,14,287,413,146,4889,NA,4.7,0.2,4.3,NA,75.8,69
64,Libyan Arab Jamahiriya          ,64,Medium Development,5.7,84.5,129,18,NA,NA,36,5073,NA,NA,2,NA,0.2,76.4,71.8
65,Russian Federation              ,65,Medium Development,143.9,73.1,425,17,NA,517,111,4042,12.7,3.7,3.9,3.6,5.9,72,58.9
66,"Macedonia, TFYR                 ",66,Medium Development,2,68.1,219,13,308,NA,78,2637,12.5,3.4,2.6,4.6,NA,76.5,71.5
67,Belarus                         ,67,Medium Development,9.8,71.8,455,9,329,249,163,2330,6.9,5.8,1.4,1.4,0.2,74.1,62.5
68,Dominica                        ,68,Medium Development,0.1,72.5,50,13,293,585,259,3794,NA,NA,NA,6.8,NA,NA,NA
69,Brazil                          ,69,Medium Development,183.9,83.7,115,32,230,357,120,3284,57.8,4.1,1.5,8.9,1.2,74.8,67
70,Colombia                        ,70,Medium Development,44.9,72.4,135,18,195,232,80,2176,63.8,4.9,3.8,7.9,0.2,75.6,69.6
71,Saint Lucia                     ,71,Medium Development,0.2,27.6,517,13,NA,568,336,4663,NA,5,NA,3.5,NA,74.1,71
72,"Venezuela, RB                   ",72,Medium Development,26.3,93,194,16,128,322,89,4214,20.4,NA,1.2,6,0.6,76.1,70.2
73,Albania                         ,73,Medium Development,3.1,44.6,131,17,90,64,24,2439,5.9,2.8,1.2,1,NA,76.9,71.1
74,Thailand                        ,74,Medium Development,63.7,32,37,18,107,430,109,2539,12.6,4.2,1.2,7.7,1,74,66.7
75,Samoa (Western)                 ,75,Medium Development,0.2,22.3,70,25,NA,NA,33,2042,NA,4.3,NA,5.6,NA,73.9,67.5
76,Saudi Arabia                    ,76,Medium Development,24,80.8,137,21,154,383,66,10462,NA,NA,8.3,NA,1.2,74.2,70.3
77,Ukraine                         ,77,Medium Development,47,67.6,295,14,256,289,79,1366,5.9,4.6,2.6,6.6,1.3,72.4,60.1
78,Lebanon                         ,78,Medium Development,3.5,86.5,325,27,178,251,169,6149,NA,2.6,3.8,20,0.1,74.4,70.1
79,Kazakhstan                      ,79,Medium Development,14.8,57.1,354,63,167,184,27,2717,8.5,2.4,1,21.5,0.6,69.1,58
80,Armenia                         ,80,Medium Development,3,64.2,359,29,192,67,50,1017,8,3.2,2.6,3.5,NA,74.8,68.1
81,China                           ,81,Medium Development,1308,39.5,106,26,241,258,73,1490,18.4,NA,2.4,1.2,16.5,73.7,70.2
82,Peru                            ,82,Medium Development,27.6,72.4,117,24,74,148,117,2490,40.5,3,1.2,4,0.1,72.9,67.8
83,Ecuador                         ,83,Medium Development,13,62.3,148,23,124,348,48,2322,44.9,NA,2.4,12.3,0.1,77.5,71.6
84,Philippines                     ,84,Medium Development,81.6,61.9,58,26,42,404,54,1036,16.5,3.2,0.9,13.7,0.3,72.8,68.6
85,Grenada                         ,85,Medium Development,0.1,30.6,50,18,309,410,76,4135,NA,5.2,NA,6.7,NA,NA,NA
86,Jordan                          ,86,Medium Development,5.6,81.9,203,23,113,293,110,2117,11.3,NA,8.2,6.1,0.1,73.2,70.2
87,Tunisia                         ,87,Medium Development,10,64.9,134,21,121,359,84,2838,13.4,8.1,1.5,7.2,0.1,75.6,71.4
88,Saint Vincent and the Grenadines,88,Medium Development,0.1,45.6,87,18,161,481,68,3412,NA,11.1,NA,5.2,NA,74.1,68.5
89,Suriname                        ,89,Medium Development,0.4,73.5,45,30,182,477,67,2484,NA,NA,NA,NA,NA,72.7,66.1
90,Fiji                            ,90,Medium Development,0.8,50.3,34,16,NA,NA,73,3125,NA,6.4,1.2,0.6,NA,70.3,65.9
91,Paraguay                        ,91,Medium Development,6,57.9,111,21,50,294,25,1220,73.4,4.3,0.7,6.8,NA,73.5,68.9
92,Turkey                          ,92,Medium Development,72.2,66.8,135,28,267,484,142,4221,16.8,3.7,3.1,11.2,0.9,71.3,66.6
93,Sri Lanka                       ,93,Medium Development,20.6,15.2,55,12,51,114,14,1033,8.1,NA,2.8,3.8,NA,77,71.7
94,Dominican Republic              ,94,Medium Development,8.8,65.9,188,27,107,289,91,2130,30,1.1,0.5,4,0.1,71.3,64.1
95,Belize                          ,95,Medium Development,0.3,48.1,105,32,119,346,124,3870,NA,5.1,NA,30.4,NA,74.4,69.5
96,"Iran, Islamic Rep. of           ",96,Medium Development,68.8,66.4,45,32,NA,64,82,2439,17.2,4.8,4.5,1.2,1.5,72.3,69.2
97,Georgia                         ,97,Medium Development,4.5,52.2,409,41,151,186,39,1151,15.4,2.9,1.4,4.2,NA,74.4,66.6
98,Maldives                        ,98,Medium Development,0.3,29.2,92,35,98,353,59,2345,NA,8.1,NA,4.3,NA,66.6,67.4
99,Azerbaijan                      ,99,Medium Development,8.4,51.5,355,75,118,215,49,1026,3.3,3.3,1.8,2.8,0.1,70.6,63.3
100,Occupied Palestinian Territories,100,Medium Development,3.6,71.5,NA,22,102,278,46,1026,NA,NA,NA,NA,NA,74.2,71.1
101,El Salvador                     ,101,Medium Development,6.8,59.5,124,24,131,271,87,2340,57.5,2.8,0.7,3.9,NA,74.1,68
102,Algeria                         ,102,Medium Development,32.4,62.6,113,35,71,145,26,2616,9.6,NA,3.4,6.8,0.7,72.7,70.1
103,Guyana                          ,103,Medium Development,0.8,28.3,48,48,137,192,193,1047,NA,5.5,NA,6.2,NA,66.7,60.6
104,Jamaica                         ,104,Medium Development,2.6,52.8,85,17,189,832,403,3352,11.4,4.9,0.7,9.4,NA,72.5,69
105,Turkmenistan                    ,105,Medium Development,4.8,46,418,80,NA,NA,8,1294,12.3,NA,NA,NA,0.2,66.9,58.4
106,Cape Verde                      ,106,Medium Development,0.5,56.6,49,27,148,133,50,1915,NA,7.3,0.7,2.7,NA,73.5,67.3
107,Syrian Arab Republic            ,107,Medium Development,18.6,50.5,140,15,143,126,43,1293,NA,NA,6.6,1.4,0.2,75.4,71.8
108,Indonesia                       ,108,Medium Development,220.1,47,13,30,46,138,67,1184,7.8,0.9,1.1,7.9,1.2,69.2,65.3
109,Viet Nam                        ,109,Medium Development,83.1,26,53,17,70,60,71,550,9.4,NA,NA,1.7,0.3,72.9,68.8
110,Kyrgyzstan                      ,110,Medium Development,5.2,35.7,251,58,NA,59,52,433,6.4,4.4,2.9,7.3,NA,71.3,62.9
111,Egypt                           ,111,Medium Development,72.6,42.7,54,26,130,105,54,1085,8,NA,2.8,2.9,0.6,72.4,68
112,Nicaragua                       ,112,Medium Development,5.4,58.7,37,31,40,137,23,847,15.5,3.1,0.7,2.8,NA,72.4,67.6
113,Uzbekistan                      ,113,Medium Development,26.2,36.7,274,57,NA,21,34,456,6.1,NA,NA,7.1,0.5,69.9,63.4
114,"Moldova, Rep. of                ",114,Medium Development,4.2,46.5,264,23,205,187,96,615,8.2,4.9,0.4,9.6,NA,71.7,64.4
115,Bolivia                         ,115,Medium Development,9,63.7,122,54,69,200,39,974,168.1,6.4,2,5.9,NA,66.5,62.3
116,Mongolia                        ,116,Medium Development,2.6,56.6,263,41,NA,NA,80,641,17.8,5.6,2,2.5,NA,66.5,62.5
117,Honduras                        ,117,Medium Development,7,46,57,31,53,100,32,1046,34.2,NA,0.7,4.5,NA,70.2,66.1
118,Guatemala                       ,118,Medium Development,12.3,46.8,90,33,92,258,61,2233,48.2,NA,0.4,2,NA,71.3,63.9
119,Vanuatu                         ,119,Medium Development,0.2,23.1,11,32,33,51,36,1526,NA,9.6,NA,1.1,NA,70.9,67.2
120,Equatorial Guinea               ,120,Medium Development,0.5,38.9,30,122,NA,113,10,6572,NA,0.6,NA,0.2,NA,43.3,42.3
121,South Africa                    ,121,Medium Development,47.2,58.8,77,54,NA,428,78,4675,33.1,5.4,1.4,1.8,1.4,48.2,45.7
122,Tajikistan                      ,122,Medium Development,6.4,24.9,203,91,NA,NA,1,322,7.8,2.8,2.2,4.9,NA,66.4,61.2
123,Morocco                         ,123,Medium Development,31,58,51,38,44,313,117,1678,11.7,6.3,4.5,6,0.2,72.2,67.8
124,Gabon                           ,124,Medium Development,1.4,83,29,60,28,359,29,5306,NA,NA,1.7,3.1,NA,54.7,53.4
125,Namibia                         ,125,Medium Development,2,34.5,30,47,64,142,37,2843,128.8,7.2,3.1,NA,NA,47.5,46.8
126,India                           ,126,Medium Development,1087.1,28.5,60,62,41,44,32,640,7.3,3.3,3,2.8,5.1,65.3,62.1
127,Sao Tomé and Principe           ,127,Medium Development,0.2,57.1,49,75,NA,NA,131,407,NA,NA,NA,15.4,NA,64.2,62.1
128,Solomon Islands                 ,128,Medium Development,0.5,16.7,13,34,NA,NA,6,554,NA,NA,NA,6.4,NA,63.3,61.9
129,Cambodia                        ,129,Medium Development,13.8,19.1,16,97,NA,NA,3,354,11.6,2,2.2,0.6,NA,60.1,52.7
130,Myanmar                         ,130,Medium Development,50,30.1,36,76,8,2,1,NA,NA,NA,NA,NA,NA,63.5,57.8
131,Botswana                        ,131,Medium Development,1.8,56.6,40,84,77,319,34,5073,77.6,NA,3.8,0.5,NA,34.8,34.9
132,Comoros                         ,132,Medium Development,0.8,36.4,15,52,NA,NA,14,623,NA,3.9,NA,0.9,NA,65.8,61.5
133,Lao People's Dem.  Rep.         ,133,Medium Development,5.8,20.3,59,65,13,35,4,423,8.3,2.3,NA,2.2,NA,56.3,53.8
134,Pakistan                        ,134,Medium Development,154.8,34.5,74,80,30,33,13,632,6.5,2,3.4,4.5,0.5,63.6,63.2
135,Bhutan                          ,135,Medium Development,2.1,10.8,5,67,33,20,22,751,NA,NA,NA,1.8,NA,64.6,62.2
136,Ghana                           ,136,Medium Development,21.7,47.1,15,68,14,78,17,409,14.1,NA,0.8,2.7,NA,57.4,56.5
137,Bangladesh                      ,137,Medium Development,139.2,24.7,26,56,6,31,2,406,6.8,2.2,1.2,1.2,0.1,64.2,62.5
138,Nepal                           ,138,Medium Development,26.6,15.3,21,59,15,7,7,252,15.8,3.4,1.7,1.7,NA,62.4,61.6
139,Papua New Guinea                ,139,Medium Development,5.8,13.3,5,68,12,7,29,677,23.8,NA,0.6,12.1,NA,56.3,55.2
140,Congo                           ,140,Medium Development,3.9,59.8,20,81,4,99,9,1118,NA,3.2,NA,8.1,NA,53.5,51
141,Sudan                           ,141,Medium Development,35.5,39.8,22,63,29,30,32,594,NA,NA,0,1.5,NA,58,55.1
142,Timor-Leste                     ,142,Medium Development,0.9,26.1,10,64,NA,NA,NA,367,NA,NA,NA,NA,NA,57.1,54.9
143,Uganda                          ,145,Medium Development,27.8,12.5,8,80,3,42,7,245,14.9,5.2,2.3,1.5,NA,48.8,47.9
144,Togo                            ,147,Medium Development,6,39.4,4,78,NA,NA,37,344,NA,2.6,1.6,1,NA,56.4,52.6
145,Zimbabwe                        ,151,Medium Development,12.9,35.4,16,79,25,31,63,363,22,NA,NA,2,NA,36,37.2
146,Madagascar                      ,143,Low Development,18.1,26.6,29,76,NA,18,5,241,19.2,3.3,NA,1.8,NA,56.9,54.3
147,Cameroon                        ,144,Low Development,16,53.7,19,87,7,96,10,897,15.7,3.8,1.4,4.5,NA,46.2,45.1
148,Swaziland                       ,146,Low Development,1,23.9,16,108,NA,101,32,2140,49.7,6.2,NA,1.8,NA,31.3,31.3
149,Djibouti                        ,148,Low Development,0.8,85.6,18,101,14,NA,12,851,NA,6.1,NA,2.7,NA,54.1,51.8
150,Lesotho                         ,149,Low Development,1.8,18.5,5,61,21,88,24,730,105,9,2.3,4,NA,36.2,34
151,Yemen                           ,150,Low Development,20.3,26.9,33,82,39,53,9,631,8.6,NA,6.3,1.7,0.1,62.4,59.7
152,Kenya                           ,152,Low Development,33.5,20.5,14,79,9,76,45,481,13.6,7,1.6,2.3,NA,46.5,48.5
153,Mauritania                      ,153,Low Development,3,40.3,11,78,NA,175,5,515,12,3.4,1.4,3.7,NA,54.7,51.5
154,Haiti                           ,154,Low Development,8.4,38.1,25,74,17,48,59,420,71.7,NA,NA,3.8,NA,52.7,51.3
155,Gambia                          ,155,Low Development,1.5,53,11,89,NA,118,33,281,20.2,1.9,0.4,8.1,NA,57.5,54.7
156,Senegal                         ,156,Low Development,11.4,41.3,6,78,NA,90,42,683,12.8,4,1.4,4.3,NA,57.2,54.8
157,Eritrea                         ,157,Low Development,4.2,19,5,52,9,5,12,219,NA,3.8,NA,2.1,NA,56.1,52.3
158,Rwanda                          ,158,Low Development,8.9,18.5,5,118,3,16,4,208,5.8,NA,2.2,1.3,NA,45.8,42.6
159,Nigeria                         ,159,Low Development,128.7,47.3,28,101,8,71,14,560,17.8,NA,1,3.3,0.2,43.5,43.2
160,Guinea                          ,160,Low Development,9.2,32.6,11,101,NA,NA,5,421,12.3,NA,NA,4.4,NA,54.2,53.6
161,Angola                          ,161,Low Development,15.5,52.7,8,154,6,48,11,1258,NA,NA,4.2,10.5,NA,42.5,39.6
162,"Tanzania, U. Rep. of            ",162,Low Development,37.6,23.8,2,78,NA,44,9,288,9.2,NA,1.1,1.1,NA,46.2,45.6
163,Benin                           ,163,Low Development,8.2,39.7,4,90,9,NA,12,498,9.4,3.3,NA,1.6,NA,55,53.5
164,Côte d'Ivoire                   ,164,Low Development,17.9,44.6,12,117,13,86,17,866,16.6,NA,NA,3.5,NA,46.7,45.2
165,Zambia                          ,165,Low Development,11.5,34.9,12,102,8,26,20,471,13.9,2.8,NA,7.9,NA,37.1,38.2
166,Malawi                          ,166,Low Development,12.6,16.7,2,110,7,18,4,149,22.7,6,NA,3.2,NA,39.6,40
167,"Congo, Dem. Rep. of the         ",167,Low Development,55.9,31.6,11,129,NA,37,NA,119,NA,NA,3,1.8,NA,44.5,42.5
168,Mozambique                      ,168,Low Development,19.4,33.7,3,104,NA,36,7,313,12.5,NA,1.3,1.4,NA,42.3,41
169,Burundi                         ,169,Low Development,7.3,9.7,3,114,NA,NA,3,90,19.3,5.2,6.3,13.4,NA,44.9,43
170,Ethiopia                        ,170,Low Development,75.6,15.7,3,110,NA,3,2,114,6.6,4.6,NA,1.2,NA,48.8,46.8
171,Chad                            ,171,Low Development,9.4,24.8,4,117,1,13,6,447,NA,NA,1,1.1,NA,44.7,42.6
172,Central African Republic        ,172,Low Development,4,37.9,8,115,3,15,2,328,69.2,NA,1.2,1.4,NA,39.8,38.4
173,Guinea-Bissau                   ,173,Low Development,1.5,29.6,12,126,NA,NA,17,182,19,NA,NA,16,NA,46.2,43.4
174,Burkina Faso                    ,174,Low Development,12.8,17.9,6,97,6,31,4,376,11.6,NA,1.3,1.2,NA,48.6,47.2
175,Mali                            ,175,Low Development,13.1,29.9,8,121,6,30,4,371,23.1,NA,1.9,2.1,NA,48.7,47.4
176,Sierra Leone                    ,176,Low Development,5.3,39.9,3,165,5,22,2,202,87.2,NA,1.2,2.5,NA,42.4,39.6
177,Niger                           ,177,Low Development,13.5,16.7,3,152,2,11,2,228,46,2.3,1.1,1.6,NA,44.7,44.6
178,Afghanistan                     ,NA,NA,28.6,22.6,19,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,46.2
179,Andorra                         ,NA,NA,0.1,91,370,6,NA,786,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Iraq                            ,NA,NA,28.1,67.1,66,102,NA,NA,NA,NA,NA,NA,NA,NA,0.3,60.7,57.7
181,Kiribati                        ,NA,NA,0.1,46.6,30,49,NA,NA,20,633,NA,16,NA,NA,NA,NA,NA
182,"Korea, Dem. Rep.                ",NA,NA,22.4,61.3,329,42,NA,NA,NA,NA,NA,NA,NA,NA,0.3,66.4,60.5
183,Liberia                         ,NA,NA,3.2,57.4,3,157,NA,NA,NA,152,NA,NA,NA,0.1,NA,43.4,41.5
184,Liechtenstein                   ,NA,NA,NA,14.6,NA,4,588,750,647,NA,NA,NA,NA,NA,NA,NA,NA
185,Marshall Islands                ,NA,NA,0.1,66.5,47,52,NA,NA,33,1767,NA,14.8,NA,NA,NA,NA,NA
186,"Micronesia, Fed. Sts.           ",NA,NA,0.1,22.3,60,19,109,117,109,2064,NA,NA,NA,NA,NA,68.5,67.1
187,Monaco                          ,NA,NA,NA,100,581,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Nauru                           ,NA,NA,NA,100,145,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Palau                           ,NA,NA,NA,69.6,111,22,NA,NA,NA,6350,NA,10.1,NA,NA,NA,NA,NA
190,San Marino                      ,NA,NA,NA,96.7,4735,3,NA,NA,536,NA,NA,NA,NA,NA,NA,NA,NA
191,Somalia                         ,NA,NA,8,34.8,4,133,25,63,25,NA,NA,NA,NA,NA,NA,48.2,45.8
192,Tuvalu                          ,NA,NA,NA,47.7,55,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,Serbia and Montenegro           ,NA,NA,10.5,52.1,206,13,330,581,147,2946,NA,NA,3.4,4.1,0.2,75.8,71.1
