id,educ,jobcat,salary,salbegin,jobtime,prevexp,minority,age,gender,dob
97,17,Clerical,40200,19500,92,168,Yes,36,Male,1/18/53
98,8,Custodial,30000,15000,92,144,Yes,33,Male,5/17/56
99,12,Clerical,22050,10950,92,5,Yes,21,Female,7/7/68
100,18,Manager,78250,27480,91,47,No,26,Male,10/25/63
101,16,Manager,60625,22500,91,44,No,29,Male,3/14/60
102,14,Clerical,39900,15750,91,59,No,26,Male,3/28/63
103,19,Manager,97000,35010,91,68,No,30,Male,3/17/59
104,15,Clerical,27450,15750,91,48,No,27,Male,11/5/62
105,15,Clerical,31650,13500,91,18,No,23,Male,3/7/66
106,19,Manager,91250,29490,91,23,No,27,Male,8/4/62
107,12,Clerical,25200,14400,91,83,No,29,Female,8/16/60
108,12,Clerical,21000,11550,91,108,No,59,Female,7/16/30
109,12,Clerical,30450,15000,91,49,Yes,26,Male,11/10/63
110,15,Clerical,28350,18000,91,151,Yes,37,Male,10/29/52
111,12,Custodial,30750,9000,91,314,Yes,49,Male,11/27/40
112,12,Custodial,30750,15000,91,240,Yes,41,Male,6/21/48
113,16,Manager,54875,27480,90,68,No,30,Male,10/6/59
114,14,Clerical,37800,16500,90,60,No,28,Male,8/25/61
115,15,Clerical,33450,14100,90,85,No,28,Male,5/12/61
116,15,Clerical,30300,16500,90,16,No,27,Male,6/9/62
117,12,Clerical,31500,18750,90,205,No,57,Female,1/14/32
118,12,Clerical,31650,14250,90,48,No,25,Female,3/4/64
119,12,Clerical,25200,14100,90,55,No,26,Female,7/23/63
120,16,Manager,37800,15750,90,7,No,25,Female,11/12/64
121,15,Clerical,18750,10500,90,54,No,53,Female,8/6/36
122,15,Clerical,32550,13500,90,22,No,24,Female,9/26/65
123,12,Clerical,33300,15000,90,3,No,40,Female,4/24/49
124,16,Clerical,38550,16500,90,0,No,26,Female,5/29/63
125,12,Clerical,27450,15000,90,173,Yes,33,Male,8/6/56
126,15,Custodial,24300,15000,90,191,Yes,38,Male,1/21/51
127,12,Custodial,30750,15000,90,209,Yes,39,Male,9/1/50
128,12,Clerical,19650,9750,90,229,Yes,43,Female,7/25/46
129,17,Manager,68750,27510,89,38,No,30,Male,7/18/59
130,20,Manager,59375,30000,89,6,No,31,Male,9/6/58
131,15,Clerical,31500,15750,89,22,No,27,Male,2/8/62
132,12,Clerical,27300,17250,89,175,No,36,Male,5/17/53
133,15,Clerical,27000,15750,89,87,No,30,Male,9/12/59
134,16,Manager,41550,24990,89,285,No,48,Female,11/10/41
135,12,Clerical,26250,10950,89,0,No,21,Female,5/22/68
136,12,Clerical,22200,15000,88,324,No,50,Male,8/25/39
137,21,Manager,65000,37500,88,264,No,52,Male,7/12/37
138,12,Clerical,30900,15000,88,252,No,42,Male,1/9/47
139,8,Clerical,20100,13200,88,90,No,58,Female,6/18/31
140,12,Clerical,22350,13500,88,26,No,24,Female,4/5/65
141,15,Clerical,35550,13350,88,32,No,23,Female,6/14/66
142,12,Clerical,28500,13950,88,34,No,23,Female,11/13/66
143,12,Clerical,24450,13200,88,107,No,50,Female,8/24/39
144,8,Clerical,16650,9750,88,412,No,58,Female,8/28/31
145,12,Clerical,26700,13500,88,38,Yes,25,Male,1/15/64
146,18,Clerical,43950,23250,88,182,Yes,38,Male,1/2/51
147,15,Clerical,23700,13500,88,359,Yes,53,Male,9/11/36
148,15,Clerical,26550,14250,88,61,Yes,30,Female,10/5/59
149,12,Clerical,27600,15000,87,75,No,27,Male,6/28/62
150,12,Clerical,25800,15000,87,143,No,35,Male,3/5/54
151,16,Manager,42300,26250,87,126,No,35,Male,8/16/54
152,8,Custodial,30750,15000,87,451,No,60,Male,5/3/29
153,12,Clerical,26700,12900,87,18,No,22,Female,5/13/67
154,12,Clerical,20850,12000,87,163,No,49,Female,6/7/40
155,15,Clerical,35250,15000,87,54,Yes,26,Male,3/6/63
156,15,Clerical,26700,15000,87,56,Yes,26,Male,1/12/63
157,12,Clerical,26550,13050,87,11,Yes,22,Female,7/2/67
158,12,Clerical,27750,12000,87,11,Yes,25,Female,9/20/64
159,16,Clerical,25050,12750,87,123,Yes,38,Female,1/13/51
160,16,Manager,66000,47490,86,150,No,38,Male,8/27/51
161,16,Clerical,52650,19500,86,20,No,26,Male,2/11/63
162,16,Manager,45625,23250,86,60,No,28,Male,5/25/61
163,15,Clerical,30900,15000,86,25,No,24,Male,11/10/65
164,15,Clerical,29400,16500,86,24,No,24,Female,8/13/65
165,15,Clerical,33300,13500,86,24,No,23,Female,4/29/66
166,12,Clerical,21900,9750,86,156,No,47,Female,7/12/42
167,12,Clerical,18150,9750,86,72,No,57,Female,8/26/32
168,16,Manager,46875,17250,86,19,No,27,Female,4/23/62
169,12,Clerical,25500,14400,86,37,Yes,24,Male,5/23/65
170,12,Clerical,26550,15000,86,38,Yes,25,Male,6/13/64
171,12,Clerical,26700,13500,86,367,Yes,59,Male,1/21/30
172,15,Clerical,29850,15000,86,79,Yes,36,Female,6/13/53
173,20,Manager,69250,42480,85,134,No,39,Male,1/15/50
174,8,Custodial,31950,15000,85,438,No,54,Male,1/7/35
175,8,Clerical,26250,15600,85,171,No,51,Male,1/8/38
176,16,Clerical,35700,17250,85,19,No,27,Female,10/5/62
177,12,Clerical,28500,16500,85,69,No,27,Female,8/11/62
178,12,Clerical,17100,10200,85,72,No,51,Female,1/17/38
179,12,Clerical,25200,13050,85,29,Yes,24,Male,1/19/65
180,12,Clerical,24000,12750,85,59,Yes,29,Female,1/23/60
181,12,Clerical,27450,10200,85,101,Yes,50,Female,1/4/39
182,12,Clerical,18450,10200,85,228,Yes,46,Female,3/8/43
183,15,Clerical,39300,15750,84,72,No,29,Male,3/1/60
184,15,Clerical,38850,15000,84,53,No,25,Male,11/5/64
185,8,Custodial,30750,15000,84,380,No,59,Male,8/28/30
186,15,Clerical,37500,20400,84,33,No,25,Male,7/6/64
187,16,Manager,58750,21750,84,13,No,26,Male,7/29/63
188,12,Clerical,34500,18750,84,208,No,55,Female,2/4/34
189,12,Clerical,36000,19980,84,240,No,39,Female,3/28/50
190,8,Clerical,29100,16500,84,35,No,57,Female,11/15/32
191,12,Clerical,16500,10200,84,288,No,58,Female,10/23/31
192,12,Clerical,19650,12750,84,180,Yes,40,Male,10/9/49
193,12,Clerical,24750,12000,84,41,Yes,23,Female,7/22/66
194,15,Clerical,27150,15750,84,231,Yes,51,Female,4/10/38
195,12,Clerical,26400,12750,84,36,Yes,34,Female,11/6/55
196,16,Clerical,23100,12000,84,214,Yes,43,Female,3/3/46
197,15,Manager,54900,25500,83,49,No,27,Male,10/1/62
198,19,Manager,70875,43500,83,156,No,37,Male,3/17/52
199,16,Manager,51250,27480,83,69,No,31,Male,2/2/58
200,17,Manager,67500,34980,83,9,No,26,Male,2/13/63
201,12,Clerical,29340,19500,83,150,No,34,Male,5/8/55
202,15,Clerical,39600,16500,83,47,No,26,Male,3/17/63
203,12,Clerical,29100,15000,83,50,No,25,Male,3/17/64
204,15,Clerical,33150,16500,83,69,No,29,Male,10/21/60
205,16,Manager,66750,52500,83,258,No,45,Male,6/22/44
206,12,Custodial,33750,15000,83,284,No,46,Male,5/22/43
207,15,Clerical,27300,17250,83,91,No,30,Male,2/15/59
208,12,Clerical,24000,11250,83,16,No,21,Female,11/28/68
209,8,Clerical,19800,10200,83,75,No,55,Female,1/14/34
210,15,Clerical,30600,16500,83,216,Yes,40,Male,5/4/49
211,15,Clerical,28950,15000,83,108,Yes,39,Male,11/8/50
212,15,Clerical,38400,16500,83,64,Yes,24,Male,5/14/65
213,8,Custodial,30750,15000,83,302,Yes,44,Male,10/20/45
214,12,Clerical,20400,10950,83,9,Yes,21,Female,9/13/68
215,12,Clerical,19200,11100,83,7,Yes,21,Female,9/15/68
216,15,Clerical,30150,15750,82,72,No,25,Male,5/16/64
217,16,Clerical,34620,27750,82,149,No,40,Male,3/15/49
218,15,Clerical,80000,15750,82,34,No,25,Male,3/21/64
219,12,Clerical,25350,15000,82,32,No,26,Male,2/2/63
220,12,Clerical,29850,15750,82,85,No,26,Male,8/17/63
221,12,Clerical,24000,13800,82,97,No,42,Female,5/22/47
222,15,Clerical,27750,19500,82,265,No,54,Female,9/15/35
223,8,Clerical,22350,10200,82,48,No,47,Female,3/14/42
224,12,Clerical,16200,10200,82,0,No,55,Female,11/20/34
225,15,Clerical,21900,12750,82,0,No,22,Female,10/13/67
226,16,Clerical,23250,15750,82,4,No,25,Female,6/21/64
227,12,Clerical,33900,12000,82,11,No,24,Female,7/17/65
228,15,Clerical,25650,14250,82,51,No,26,Female,9/21/63
229,12,Clerical,17250,10200,82,358,No,49,Female,8/21/40
230,15,Clerical,22500,15000,82,371,Yes,55,Male,2/4/34
231,16,Manager,40200,21000,81,3,No,24,Male,1/9/65
232,19,Manager,55500,33750,81,62,No,26,Male,9/13/63
233,15,Clerical,26550,15000,81,52,No,26,Male,7/21/63
234,15,Clerical,50550,19500,81,44,No,29,Male,11/12/60
235,19,Manager,75000,31500,81,13,No,27,Male,9/11/62
236,8,Clerical,27450,12000,81,9,No,20,Female,5/2/69
237,12,Clerical,22650,11250,81,0,No,20,Female,6/4/69
238,12,Clerical,27300,11250,81,5,No,20,Female,6/15/69
239,12,Clerical,27750,11225,81,5,No,20,Female,9/14/69
240,16,Manager,54375,18750,81,81,No,28,Female,6/15/61
241,8,Clerical,17400,10200,81,390,No,53,Female,8/27/36
242,12,Clerical,40800,18000,81,4,No,22,Female,11/3/67
243,12,Clerical,23100,10950,81,0,No,20,Female,2/10/69
244,8,Clerical,22500,10950,81,5,No,20,Female,9/15/69
245,12,Clerical,26700,11550,81,18,No,20,Female,3/16/69
246,12,Clerical,24900,11250,81,0,No,21,Female,1/14/68
247,12,Clerical,19650,10950,81,11,No,21,Female,5/13/68
248,12,Clerical,22050,10950,81,9,No,20,Female,4/9/69
249,12,Clerical,25500,12000,81,11,No,20,Female,5/9/69
250,15,Clerical,28200,12750,81,19,No,23,Female,10/10/66
251,12,Clerical,23100,11250,81,13,No,20,Female,1/19/69
252,12,Clerical,25500,11400,81,9,Yes,20,Male,9/18/69
253,8,Clerical,17100,10200,81,0,Yes,47,Female,2/21/42
254,18,Manager,68125,32490,80,29,No,25,Male,2/8/64
255,12,Custodial,30600,15750,80,460,No,57,Male,8/15/32
256,19,Manager,52125,27480,80,221,No,41,Male,1/3/48
257,19,Manager,61875,36750,80,199,No,38,Male,9/24/51
258,8,Clerical,21300,11550,80,24,No,20,Male,3/9/69
259,12,Clerical,19650,11250,80,5,No,20,Female,3/15/69
260,12,Clerical,22350,11250,80,5,No,20,Female,2/20/69
261,12,Clerical,23400,11250,80,18,No,20,Female,3/27/69
262,12,Clerical,24300,10950,80,8,No,21,Female,6/20/68
263,12,Clerical,28500,11250,80,4,No,21,Female,10/13/68
264,12,Clerical,19950,11250,80,8,No,20,Female,1/16/69
265,12,Clerical,23400,11250,80,0,No,20,Female,9/24/69
266,16,Clerical,34500,17250,80,3,No,26,Female,10/7/63
267,12,Clerical,18150,10950,80,0,No,20,Female,8/24/69
268,12,Clerical,22350,15000,80,272,Yes,53,Male,5/16/36
269,15,Clerical,40200,17250,79,38,No,23,Male,3/17/66
270,15,Clerical,28650,18000,79,261,No,42,Male,10/29/47
271,15,Clerical,27750,16500,79,55,No,26,Male,8/24/63
272,18,Clerical,66875,31980,79,30,No,25,Male,6/17/64
273,12,Custodial,30000,15750,79,308,No,50,Male,11/12/39
274,16,Manager,83750,21750,79,12,No,25,Male,8/4/64
275,12,Clerical,33900,16500,79,94,No,26,Male,1/14/63
276,16,Manager,56500,21000,79,12,No,24,Male,5/11/65
277,16,Manager,43000,17490,79,20,No,24,Female,5/20/65
278,8,Clerical,20850,12000,79,70,No,46,Female,6/12/43
279,12,Clerical,24450,12000,79,8,No,20,Female,4/16/69
280,12,Clerical,24750,10950,79,5,No,20,Female,10/20/69
281,8,Custodial,34500,15750,79,246,Yes,44,Male,2/18/45
282,14,Clerical,27900,15000,79,47,Yes,26,Male,9/15/63
283,19,Manager,68125,32010,78,35,No,26,Male,2/25/63
284,19,Manager,73500,33000,78,45,No,28,Male,10/10/61
285,8,Custodial,30750,15750,78,429,No,59,Male,5/28/30
286,15,Manager,40050,25500,78,133,No,31,Male,3/7/58
287,16,Clerical,40350,19500,78,20,No,24,Male,1/18/65
288,15,Manager,38700,23730,78,176,No,34,Male,1/22/55
289,17,Manager,65000,30750,78,26,No,25,Male,10/27/64
290,18,Manager,51450,36240,78,149,No,35,Male,4/5/54
291,12,Custodial,35250,15750,78,387,No,55,Male,9/23/34
292,14,Clerical,25950,15000,78,53,No,26,Male,5/7/63
293,15,Clerical,25050,14250,78,24,No,24,Male,9/19/65
294,12,Clerical,26700,12750,78,25,No,21,Male,10/10/68
295,8,Clerical,24000,15750,78,476,No,57,Male,8/20/32
296,12,Clerical,26850,15000,78,48,No,25,Male,2/12/64
297,12,Clerical,23400,15300,78,209,No,47,Female,4/16/42
298,12,Clerical,24600,13500,78,47,No,23,Female,8/24/66
299,15,Clerical,32550,18000,78,6,No,24,Female,5/11/65
300,16,Clerical,26550,15000,78,105,Yes,29,Male,5/26/60
301,12,Clerical,31500,13500,78,7,Yes,21,Male,8/4/68
302,8,Clerical,22350,15000,78,320,Yes,50,Male,9/28/39
303,12,Custodial,35250,15750,78,281,Yes,51,Male,2/10/38
304,15,Clerical,25800,13500,78,51,Yes,44,Female,9/28/45
305,12,Custodial,30750,15750,77,317,No,48,Male,10/25/41
306,15,Clerical,30750,16500,77,41,No,23,Male,4/5/66
307,16,Manager,50000,32490,77,264,No,44,Male,7/24/45
308,15,Clerical,34500,18000,77,63,No,26,Male,2/1/63
309,15,Clerical,26250,15750,77,38,No,25,Male,7/19/64
310,16,Clerical,44875,21240,77,22,No,25,Male,3/23/64
311,12,Clerical,22500,12000,77,63,No,38,Female,2/15/51
312,12,Clerical,25650,14250,77,64,No,26,Female,3/12/63
313,12,Clerical,21300,11250,77,0,No,20,Female,10/25/69
314,12,Clerical,29850,13500,77,38,No,23,Female,11/24/66
315,12,Clerical,34500,12150,77,4,No,20,Female,9/19/69
316,15,Clerical,27750,15000,77,52,Yes,29,Male,1/14/60
317,12,Clerical,27750,11550,77,12,Yes,20,Male,2/27/69
318,16,Manager,48750,21990,76,61,No,28,Male,2/19/61
319,15,Clerical,43410,15750,76,12,No,23,Male,3/2/66
320,12,Clerical,22050,15000,76,385,No,53,Male,11/10/36
321,12,Clerical,22050,12000,76,6,No,36,Female,10/26/53
322,12,Clerical,22500,14250,76,90,No,51,Female,3/2/38
323,15,Clerical,25500,12000,76,7,No,22,Female,5/13/67
324,12,Clerical,29160,15000,76,22,No,23,Female,10/14/66
325,8,Clerical,16800,10200,76,76,No,55,Female,11/4/34
326,8,Custodial,29550,15750,76,144,Yes,31,Male,7/24/58
327,12,Clerical,26700,15750,76,18,Yes,24,Male,3/2/65
328,18,Manager,55000,32490,75,125,No,37,Male,10/25/52
329,18,Manager,62500,34980,75,74,No,31,Male,8/24/58
330,15,Clerical,27300,17250,75,132,No,30,Male,5/9/59
331,12,Clerical,24450,12000,75,144,No,47,Female,2/4/42
332,16,Clerical,33000,18000,75,26,No,25,Female,5/10/64
333,15,Clerical,37050,18000,75,5,No,24,Female,1/26/65
334,12,Clerical,24450,10950,75,32,Yes,23,Female,5/9/66
335,8,Custodial,31950,15750,74,408,No,59,Male,2/26/30
336,16,Manager,47250,21240,74,45,No,25,Male,1/10/64
337,12,Clerical,26100,11550,74,2,No,19,Female,1/27/70
338,8,Clerical,15900,10200,74,43,No,51,Female,8/12/38
339,8,Clerical,23700,10650,74,281,No,47,Female,11/7/42
340,8,Clerical,21750,12450,74,318,No,55,Female,5/6/34
341,12,Manager,59400,33750,74,272,Yes,44,Male,1/20/45
342,12,Clerical,24450,14250,74,117,Yes,41,Female,6/1/48
343,16,Manager,103500,60000,73,150,No,36,Male,6/9/53
344,12,Clerical,35700,16500,73,72,No,26,Male,10/13/63
345,12,Clerical,22200,16500,73,7,No,20,Female,5/5/69
346,15,Clerical,22950,13950,73,22,No,21,Female,8/16/68
347,12,Clerical,23100,12000,73,228,No,45,Female,8/10/44
348,16,Manager,56750,30000,73,15,No,27,Female,6/11/62
349,17,Clerical,29100,12750,73,375,No,51,Female,3/22/38
350,12,Clerical,37650,15750,73,132,No,50,Female,4/21/39
351,12,Clerical,27900,13500,73,32,No,23,Female,1/27/66
352,8,Clerical,21150,12000,73,159,No,56,Female,11/26/33
353,12,Custodial,31200,15750,73,155,Yes,34,Male,3/10/55
354,12,Clerical,20550,11250,73,154,Yes,43,Female,5/8/46
355,15,Clerical,25950,17250,72,83,No,28,Male,5/19/61
356,15,Clerical,28350,15000,72,48,No,24,Male,11/10/65
357,8,Clerical,17700,10200,72,184,No,57,Female,1/18/32
358,15,Clerical,23550,13500,72,49,No,45,Female,4/11/44
359,12,Clerical,19950,10200,72,56,No,48,Female,6/12/41
360,12,Clerical,29400,15300,72,30,No,21,Female,8/11/68
361,12,Clerical,28800,13950,72,18,No,23,Female,6/9/66
362,8,Clerical,16950,10200,72,319,No,52,Female,4/8/37
363,16,Clerical,35700,18000,72,138,Yes,35,Male,6/3/54
364,12,Clerical,17400,10200,72,116,Yes,42,Female,3/26/47
365,8,Clerical,21450,10200,72,194,Yes,41,Female,10/16/48
366,12,Clerical,24750,12000,72,68,Yes,28,Female,3/21/61
367,12,Clerical,16950,10200,72,271,Yes,47,Female,5/22/42
368,12,Clerical,26100,13500,72,169,Yes,46,Female,7/20/43
369,14,Clerical,28050,15000,71,15,No,22,Male,11/14/67
370,16,Clerical,36600,18000,71,12,No,26,Female,1/20/63
371,16,Manager,58125,18000,71,11,No,23,Female,4/5/66
372,15,Clerical,21300,15750,70,372,No,54,Male,8/22/35
373,12,Clerical,22500,16500,70,216,No,40,Male,10/29/49
374,15,Clerical,29400,15750,70,15,No,22,Male,7/26/67
375,12,Clerical,27450,14700,70,41,No,23,Male,10/8/66
376,15,Clerical,29850,15750,70,48,No,25,Male,10/9/64
377,15,Clerical,25350,15750,70,56,No,24,Male,11/29/65
378,8,Clerical,15750,10200,70,275,No,59,Female,9/21/30
379,8,Clerical,19650,13050,70,102,No,51,Female,5/12/38
380,12,Clerical,21000,13500,70,82,No,48,Female,2/22/41
381,17,Clerical,27000,18000,70,192,Yes,43,Male,7/15/46
382,12,Clerical,24000,15750,70,120,Yes,30,Male,10/20/59
383,17,Manager,78500,28740,70,67,Yes,28,Male,6/3/61
384,12,Clerical,20850,13050,70,127,Yes,34,Female,11/11/55
385,12,Custodial,30000,15750,69,348,No,59,Male,10/1/30
386,8,Custodial,28500,15750,69,174,No,55,Male,8/18/34
387,19,Manager,65000,31980,69,74,No,24,Male,2/3/65
388,14,Clerical,30150,16500,69,110,No,30,Male,1/2/59
389,19,Manager,66875,32490,69,81,No,30,Male,4/15/59
390,15,Clerical,24150,13500,69,7,No,21,Female,11/9/68
391,12,Clerical,24450,12450,69,12,No,20,Female,1/12/69
392,12,Clerical,21600,12000,69,0,No,19,Female,5/12/70
393,12,Clerical,27900,12450,69,0,No,20,Female,6/24/69
394,8,Clerical,29100,12450,69,17,No,19,Female,2/4/70
395,12,Clerical,22650,11250,69,2,No,19,Female,3/9/70
396,12,Clerical,20850,11250,69,0,No,19,Female,8/17/70
397,12,Clerical,22950,12300,69,5,No,19,Female,1/17/70
398,12,Clerical,30600,12450,69,5,No,19,Female,11/21/70
399,12,Clerical,20400,11250,69,0,No,19,Female,2/6/70
400,12,Clerical,23850,12750,69,20,No,20,Female,8/6/69
401,12,Clerical,22800,11250,69,0,No,19,Female,3/14/70
402,12,Clerical,20700,11250,69,2,No,19,Female,2/7/70
403,12,Clerical,21300,11250,69,3,Yes,19,Female,4/28/70
404,12,Clerical,24300,15000,69,121,Yes,36,Female,5/1/53
405,12,Clerical,19650,13950,69,133,Yes,45,Female,7/12/44
406,17,Manager,60000,32490,68,17,No,24,Male,10/5/65
407,15,Clerical,30300,15750,68,55,No,24,Male,9/6/65
408,19,Manager,61250,33000,68,9,No,25,Male,2/12/64
409,19,Clerical,36000,19500,68,21,No,27,Male,11/21/62
410,8,Clerical,25200,18750,68,344,No,47,Female,1/9/42
411,12,Clerical,16200,10200,68,180,No,58,Female,8/21/31
412,12,Clerical,22800,11250,68,2,No,19,Female,6/16/70
413,16,Manager,43500,19500,68,11,No,23,Female,3/13/66
414,8,Custodial,30300,15750,68,155,Yes,28,Male,1/8/61
415,15,Clerical,31950,15750,68,70,Yes,26,Male,5/2/63
416,15,Clerical,35250,13500,67,6,No,24,Male,1/16/65
417,15,Clerical,37800,15000,67,36,No,22,Male,7/22/67
418,15,Clerical,31200,15750,67,46,No,24,Male,6/5/65
419,15,Clerical,29400,16500,67,68,No,25,Male,10/20/64
420,19,Manager,70000,35040,67,75,No,32,Male,7/16/57
421,15,Clerical,33900,15750,67,96,No,28,Male,11/1/61
422,15,Clerical,27150,16500,67,78,No,26,Male,7/20/63
423,12,Clerical,22200,13800,67,196,No,53,Female,4/26/36
424,15,Clerical,31350,11100,67,47,No,23,Female,7/6/66
425,12,Clerical,20850,13500,67,181,No,47,Female,1/26/42
426,16,Clerical,33300,17490,67,120,Yes,37,Male,10/27/52
427,8,Clerical,26250,16050,67,97,Yes,47,Male,4/21/42
428,15,Clerical,31950,15750,67,58,Yes,25,Male,2/28/64
429,8,Custodial,30000,15750,67,305,Yes,43,Male,8/13/46
430,19,Manager,66250,34980,67,99,Yes,33,Male,4/29/56
431,18,Manager,86250,45000,66,50,No,30,Male,1/15/59
432,12,Clerical,30750,15000,66,56,No,25,Male,3/12/64
433,12,Clerical,33540,15750,66,47,No,23,Male,11/15/66
434,16,Clerical,34950,20250,66,55,No,NA,Male,NA
